"name","continent","region_complete"
"Algeria","Africa","Middle East and North Africa"
"Angola","Africa","Eastern and Southern Africa"
"Benin","Africa","West and Central Africa"
"Botswana","Africa","Eastern and Southern Africa"
"Burkina Faso","Africa","West and Central Africa"
"Burundi","Africa","Eastern and Southern Africa"
"Cabo Verde","Africa","West and Central Africa"
"Cameroon","Africa","West and Central Africa"
"Central African Republic","Africa","West and Central Africa"
"Chad","Africa","West and Central Africa"
"Comoros","Africa","Eastern and Southern Africa"
"Congo","Africa","West and Central Africa"
"Cote d'Ivoire","Africa","West and Central Africa"
"Djibouti","Africa","Middle East and North Africa"
"Egypt","Africa","Middle East and North Africa"
"Equatorial Guinea","Africa","West and Central Africa"
"Eritrea","Africa","Eastern and Southern Africa"
"Ethiopia","Africa","Eastern and Southern Africa"
"Gabon","Africa","West and Central Africa"
"Gambia","Africa","West and Central Africa"
"Ghana","Africa","West and Central Africa"
"Guinea","Africa","West and Central Africa"
"Guinea-Bissau","Africa","West and Central Africa"
"Kenya","Africa","Eastern and Southern Africa"
"Lesotho","Africa","Eastern and Southern Africa"
"Liberia","Africa","West and Central Africa"
"Libya","Africa","Middle East and North Africa"
"Madagascar","Africa","Eastern and Southern Africa"
"Malawi","Africa","Eastern and Southern Africa"
"Mali","Africa","West and Central Africa"
"Mauritania","Africa","West and Central Africa"
"Mauritius","Africa","Eastern and Southern Africa"
"Morocco","Africa","Middle East and North Africa"
"Mozambique","Africa","Eastern and Southern Africa"
"Namibia","Africa","Eastern and Southern Africa"
"Niger","Africa","West and Central Africa"
"Nigeria","Africa","West and Central Africa"
"Rwanda","Africa","Eastern and Southern Africa"
"Sao Tome and Principe","Africa","West and Central Africa"
"Senegal","Africa","West and Central Africa"
"Seychelles","Africa","Eastern and Southern Africa"
"Sierra Leone","Africa","West and Central Africa"
"Somalia","Africa","Eastern and Southern Africa"
"South Africa","Africa","Eastern and Southern Africa"
"South Sudan","Africa","Eastern and Southern Africa"
"Sudan","Africa","Middle East and North Africa"
"Tanzania","Africa","Eastern and Southern Africa"
"Togo","Africa","West and Central Africa"
"Tunisia","Africa","Middle East and North Africa"
"Uganda","Africa","Eastern and Southern Africa"
"United Republic of Tanzania","Africa","Eastern and Southern Africa"
"Zambia","Africa","Eastern and Southern Africa"
"Zimbabwe","Africa","Eastern and Southern Africa"
"Antigua and Barbuda","Americas","Latin America and Caribbean"
"Argentina","Americas","Latin America and Caribbean"
"Bahamas","Americas","Latin America and Caribbean"
"Barbados","Americas","Latin America and Caribbean"
"Belize","Americas","Latin America and Caribbean"
"Bolivia (Plurinational State of)","Americas","Latin America and Caribbean"
"Bolivia","Americas","Latin America and Caribbean"
"Brazil","Americas","Latin America and Caribbean"
"Canada","Americas","Non-programme"
"Chile","Americas","Latin America and Caribbean"
"Colombia","Americas","Latin America and Caribbean"
"Costa Rica","Americas","Latin America and Caribbean"
"Cuba","Americas","Latin America and Caribbean"
"Dominica","Americas","Latin America and Caribbean"
"Dominican Republic","Americas","Latin America and Caribbean"
"Ecuador","Americas","Latin America and Caribbean"
"El Salvador","Americas","Latin America and Caribbean"
