country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,98,98,98.1,98.1,98.1,98.2,98.2,98.2,98.3,98.3,98.4,98.4,98.4,98.5,98.5,98.6,98.6,98.6,98.7,98.7,98.8,98.8,98.8
Afghanistan,21,21,22.5,24.1,25.7,27.2,28.8,30.5,32.1,33.8,35.5,37.2,38.9,40.6,42.3,44,45.7,47.5,49.2,51,52.6,54.3,56
Angola,27.6,29,30.4,31.9,33.3,34.7,36,37.3,38.5,39.8,41.1,42.3,43.6,44.9,46.1,47.4,48.6,49.9,51.1,51.4,51.7,51.9,52.2
Albania,89.5,90,90.6,91.2,91.7,92.3,92.9,93.5,94.1,94.6,95.2,95.7,96.2,96.7,97.2,97.7,98.1,98.5,99,99.2,99.3,99.3,99.3
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UAE,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1
Argentina,87.7,88.1,88.6,89.1,89.5,90,90.5,90.9,91.4,91.9,92.3,92.8,93.2,93.6,94,94.4,94.8,,,,,,
Armenia,87,87.3,87.7,88.1,88.5,88.9,89.3,89.7,90.1,90.5,90.9,91.3,91.7,92.1,92.5,92.9,93.2,93.5,93.7,93.9,93.9,94,94
American Samoa,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.5,64.5,63.4,62.2,61.1,59.9,58.8,57.6,56.5,55.3,54.2,54.2,54.2,54.2,54.2,54.1
Antigua and Barbuda,,,,,,,,,,97.3,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,62.3,64.2,66.1,67.9,69.8,72.3,74.7,77.2,79.7,82.2,84.8,87.3,89.9,92.4,94.3,96.1,96.1,96.1,96.1,96.1,,,
Burundi,45.2,45.4,45.6,45.8,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.8,45.8,45.7,45.7,45.7,45.7
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Benin,8.61,9,9.43,9.88,10.3,10.8,11.3,11.8,12.3,12.8,13.4,13.9,14.5,15,15.6,16.2,16.8,17.4,18,18.6,19.3,19.4,19.5
Burkina Faso,10.2,10.5,11.4,12.3,13.1,14,14.8,15.6,16.3,16.9,17.6,18.2,18.9,19.5,20.1,20.7,21.2,21.8,22.3,22.8,23.3,24,24.8
Bangladesh,24.5,26.1,27.7,29.2,30.8,32.4,34.1,35.7,37.4,39,40.6,42.3,43.9,45.5,47.1,48.7,50.3,51.8,53.4,54.9,56.4,57.9,59.3
Bulgaria,85.8,85.8,85.8,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,86,86,86,86,86,86,86,86,86,86,86.1
Bahrain,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahamas,87.6,88.1,88.6,89.2,89.7,90.2,90.7,91.3,91.8,92.3,92.8,93.4,93.9,94.2,94.6,94.9,94.9,94.9,94.9,94.9,,,
Bosnia and Herzegovina,95.1,95.1,95.1,95.1,95.1,95.1,95.2,95.2,95.2,95.2,95.2,95.2,95.3,95.3,95.3,95.3,95.3,95.4,95.4,,,,
Belarus,92.1,92,92,92,92.4,92.9,93.3,93.7,94.2,94.6,95.1,95.5,96,96.5,96.9,97.4,97.9,98.4,98.9,99.3,99.5,99.5,99.6
Belize,82.4,82.8,83.1,83.4,83.7,84.1,84.4,84.7,85,85.3,85.6,85.9,86.3,86.6,86.9,87.2,87.5,87.9,88.2,88.2,88.2,88.2,88.3
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Bolivia,34.9,36,37.1,38.3,39.4,40.5,41.6,43.2,44.8,46.4,48.1,49.8,51.5,53.2,54.9,56.6,58.4,60.2,62,63.8,65.7,67.5,68.6
Brazil,73.1,74,74.9,75.8,76.7,77.6,78.4,79.3,80.2,81,81.9,82.7,83.5,84.4,85.2,86,86.9,87.7,88.5,89.3,90.1,90.8,90.9
Barbados,88.9,89.4,89.9,90.4,90.9,91.4,91.9,92.4,92.9,93.4,93.9,94.4,94.9,95.4,95.9,96.4,96.9,97.3,97.3,98.1,98.1,98.1,98.1
Brunei,72.7,73.9,75.1,76.4,77.6,78.8,80,81.2,82.4,83.7,84.9,86.1,87.3,88.5,89.7,91,92.2,93.4,94.6,95.8,97,98.3,99.5
Bhutan,46.9,47.3,49.2,51,52.8,54.6,56.3,57.9,59.5,61.1,62.6,64.2,65.7,67.1,68.6,70,71.4,72.8,74.1,75.4,76.7,77.9,77.9
Botswana,51.9,53.3,54.6,55.9,57.2,58.5,59.9,61.6,63.3,65.1,66.8,68.6,70.1,71.7,73.2,74.8,76,77.3,78.5,79.8,80,80.3,80.6
Central African Republic,20.6,20.5,20.5,20.5,20.4,20,19.5,19.1,18.7,18.3,17.9,17.5,17.1,16.7,16.3,16,15.6,15.2,14.8,14.5,14.1,13.8,13.8
Canada,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.7,99.6,99.5,99.4,99.3,99.3,99.2,99.1,99,98.9,98.8,98.8,98.7,98.6,98.6
Switzerland,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Chile,92.2,92.8,93.3,93.8,94.3,94.8,95.2,95.7,96.2,96.6,97.1,97.6,98,98.5,98.9,99.4,99.7,100,100,100,100,100,100
China,56.8,57.6,59.7,61.8,63.9,66,68,70,72,73.9,75.8,77.7,79.5,81.2,83,84.7,86.4,88.1,89.7,91.3,92.9,94.4,95.9
Cote d'Ivoire,20.7,21.3,21.9,22.5,23.1,23.8,24.6,25.3,26,26.8,27.6,28.3,29.1,29.9,30.7,31.5,32.3,33.1,33.9,34.8,35.6,36.3,37
Cameroon,38.3,38.3,38.4,38.6,38.8,39,39.3,39.5,39.7,40,40.2,40.4,40.7,40.9,41.2,41.4,41.7,41.9,42.2,42.4,42.7,42.9,43.1
"Congo, Dem. Rep.",23.7,23.3,22.8,22.4,21.9,21.5,21.1,20.7,20.3,19.9,19.5,19.1,18.8,18.4,18,17.7,17.4,17,16.7,16.4,16.1,16.1,16.2
"Congo, Rep.",11.9,12,12.3,12.6,13.1,13.6,14,14.5,15,15.6,16.1,16.6,17.2,17.8,18.3,18.9,19.5,20.2,20.3,20.4,20.5,20.6,
Colombia,75.4,76.3,77.2,78.1,79,79.9,80.8,81.7,82.6,83.4,84.3,85.2,86.1,86.9,87.8,88.7,89.6,90.4,91.3,92.2,93,93.9,94.7
Comoros,29.2,30.4,31.1,31.6,32.1,32.6,33.1,33.4,33.8,34.1,34.3,34.5,34.7,34.8,34.9,35.8,35.8,35.9,35.9,35.9,,,
Cape Verde,36.8,39.2,41.5,43.9,46.2,48.5,50.7,53,55.3,57.5,59.7,61.8,64,66.1,68.2,70.4,72.5,74.6,76.7,78.8,80.9,83,83
Costa Rica,93.7,93.9,94.2,94.4,94.6,94.8,95,95.2,95.4,95.7,95.9,96.2,96.4,96.6,96.9,97.1,97.3,97.5,97.7,97.9,98,98.2,98.4
Cuba,82.6,82.8,82.9,83.1,83.3,83.8,84.3,84.8,85.3,85.7,86.2,86.7,87.2,87.7,88.2,88.7,89.2,89.7,90.2,90.7,91.2,91.7,92.1
Cayman Islands,,83.9,83.9,83.9,83.9,83.9,83.8,83.7,83.5,83.5,83.5,83.5,83.5,83.4,83.4,83.4,83.4,83.4,83.4,83.3,83.3,83.3,83.3
