country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,94.5,94.8,95.1,95.3,95.6,95.9,96.2,96.5,96.7,97,97.3,97.6,97.9,97.9,97.9,97.9,97.9,,,,,,
Afghanistan,27.4,27.5,29.7,31.9,34.1,36.3,38.6,41.1,43.6,46.2,48.8,51.5,54.1,56.9,59.6,62.4,65.2,68,70.9,73.8,76.7,79.7,82.2
Angola,41.1,42.3,43.4,44.4,45.4,46.3,47.2,48,48.8,49.6,50.4,51.2,52,52.8,53.5,54.3,55.1,55.8,56.6,56.9,57.2,57.4,57.7
Albania,86.4,86.9,87.5,88,88.5,89,89.5,90,90.5,90.9,91.4,91.8,92.2,92.6,93,93.4,93.8,94.1,94.4,94.8,95.1,95.1,95.1
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UAE,99.6,99.6,99.6,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100
Argentina,96.3,96.5,96.8,97,97.2,97.4,97.6,97.8,98,98.2,98.4,98.6,98.8,98.9,98.9,99,99,,,,,,
Armenia,95.3,95.6,95.9,96.1,96.4,96.7,97,97.3,97.6,97.8,98.1,98.4,98.7,99,99.3,99.5,99.5,99.5,99.9,99.9,99.9,100,100
American Samoa,94.9,95.2,95.4,95.7,95.9,96.2,96.5,96.7,97,97.2,97.5,97.7,98,98.2,98.5,98.7,99,99.2,99.2,99.2,99.2,99.2,
Antigua and Barbuda,,,,,,,,,,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4
Australia,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,73.4,74.6,75.9,77.1,78.4,79.6,80.9,82.1,83.4,84.7,86,87.3,88.6,90,91.3,92.6,93.4,94.1,94.9,95.7,96.4,97,97.6
Burundi,50.7,51.2,51.8,52.4,53,53.6,54.1,54.7,55.3,55.9,56.5,57.1,57.7,58.3,59,59.6,60.2,60.8,61.5,62.1,62.2,62.3,62.4
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,61.7,62,62.3,62.6,62.9,63.2,63.4,63.7,64,64.3,64.5,64.8,65,65.3,65.5,65.8,66,66.2,66.5,66.7,66.9,67.1,67.4
Burkina Faso,57.6,57.7,57.3,56.8,56.3,55.9,55.5,55,54.5,53.9,53.4,52.9,52.4,51.9,51.4,50.9,50.4,49.9,49.5,49,48.5,49,49.5
Bangladesh,94.8,95,95.2,95.4,95.5,95.7,95.9,96.1,96.2,96.4,96.6,96.7,96.9,97,97.2,97.3,97.4,97.6,97.7,97.8,97.9,98,98.1
Bulgaria,99.8,99.8,99.7,99.7,99.7,99.6,99.6,99.5,99.5,99.5,99.4,99.4,99.4,99.3,99.3,99.3,99.2,99.2,99.2,99.1,99.1,99.1,99.1
Bahrain,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Bahamas,98.2,98.3,98.3,98.4,98.4,98.5,98.5,98.5,98.6,98.6,98.7,98.7,98.8,98.8,98.8,98.9,98.9,98.9,98.9,98.9,,,
Bosnia and Herzegovina,97.3,97.2,97.2,97.1,97.1,97,96.9,96.9,96.8,96.7,96.7,96.6,96.5,96.4,96.2,96.2,96.2,96.1,96.1,96.1,96.1,96.1,96.1
Belarus,98.4,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.4,98.4,98.4,98.7,99.2,99.2
Belize,87.4,88.1,88.7,89.4,90,90.7,91.3,92,92.6,93.3,93.9,94.6,95.2,95.9,96.5,97.2,97.6,98,98.4,98.4,98.4,98.4,98.4
Bermuda,100,100,100,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Bolivia,80.8,81.5,82.2,82.9,83.6,84.2,84.9,85.5,86.2,86.8,87.4,88.1,88.7,89.3,89.8,90.4,90.9,91.5,92,92.6,93.1,93.6,94.1
Brazil,93.5,93.8,94.1,94.5,94.8,95.1,95.4,95.7,96,96.2,96.5,96.8,97.1,97.3,97.6,97.8,98,98.5,98.7,98.9,99.3,99.6,99.6
Barbados,98.3,98.3,98.3,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5
Brunei,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
