country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,30.6,30.4,30.2,27.5,24.8,24.8,24.8,24.8,27.7,27.7,25.5,25.5,29.7,28.5,28.5
Angola,24.1,28.8,33.5,33.4,33.2,33.2,33.5,33.5,33.5,33.5,34,36.2,36.2,37.2,36.6
Albania,59.1,59.1,59.1,58.9,58.6,58.1,56.7,56.7,56.7,59.1,59.1,59.8,59.8,58.9,60.8
UAE,24.2,25.1,26,25.6,25.2,25.8,25.8,25.2,26.4,27.5,27.5,26.9,27.6,27.6,27
Argentina,66.3,66.3,66.3,67.3,68.4,68.4,68.4,68.4,68.4,70.2,69.6,69.6,70.2,70.2,69.5
Armenia,41.5,41.2,40.9,40.9,40.9,40.9,40.9,40.2,41.3,40,38.8,41.1,47.9,55.4,53.5
Australia,90.9,90.9,90.9,91.5,92.2,92.2,92.2,91.3,90.1,90.1,90.1,90.9,90.9,90.9,89.6
Austria,86.9,85.9,84.9,84.9,84.9,84.9,86.2,84.8,85.4,85.4,84.1,84.2,82.9,82.9,81.6
Azerbaijan,33.1,32.5,31.9,31.7,31.5,31.5,31.5,30.6,28.3,27.1,26.5,26.5,26.5,27.5,26.8
Burundi,45.1,45.1,45.1,42.6,40.1,40.1,36,34.1,33.3,24.9,24,23.3,23.3,21.5,21.4
Belgium,81.5,81.5,81.6,81,80.5,80.5,80.5,80.5,79.3,79.3,77.7,77.8,77.8,76.4,75.1
Benin,61.6,61.1,60.6,61.1,61.7,60.6,60,58.7,56.5,57.2,56.7,56.1,57.4,50.9,45.8
Burkina Faso,37.2,36.6,36,36,35.9,35.9,35.2,41.5,40.9,47,47,47.5,47.5,40.4,37.3
Bangladesh,61.1,58.1,55.2,57,58.7,58.6,58.6,58.6,57.8,57.3,57.3,54.3,55.7,58.8,59.9
Bulgaria,71,70.6,70.2,69.3,68.4,67.8,67.2,68.3,67.3,71.4,70.1,70.3,70.3,70.3,67.1
Bahrain,35.3,34.5,33.8,34.4,34.9,29.2,25.3,28.7,28.7,27.9,27.9,27.1,27.1,25.5,24.9
Bosnia and Herzegovina,57.8,57.4,57,55.1,53.2,52.4,51.1,50.2,47.8,48.3,48.7,48.7,49.8,48.6,48.4
Belarus,33.4,33.4,33.4,33.4,33.4,31.6,30.4,30.4,36.9,36.2,35.4,31.3,31.3,24.8,25.9
Bolivia,59.8,60.6,61.5,60.4,59.2,58.4,58.4,57.9,57.9,57.5,56.3,54.9,57,48.4,50.8
Brazil,73.8,73.8,73.8,72.5,71.2,71.2,71.2,71.2,73.8,69.6,69,68.6,69.7,68.6,69.2
Bhutan,26.2,34.6,43,44.9,46.8,45.7,46.5,48.2,48.7,49.3,49.3,50.8,53,53,57.1
Botswana,76,75.3,74.7,75.5,76.3,76.3,78.5,79.8,78.7,78.7,78.7,78.1,78.1,78.1,76.2
Central African Republic,16.1,17.4,18.6,18.4,18.2,18.2,19.9,14.9,14.9,15.7,16.1,15.2,15.2,13.2,13.2
Canada,90.7,90.7,90.7,90.8,90.8,90.8,90.8,90.8,90.8,90.8,91.5,91.5,91.5,92.2,92.4
Switzerland,90.2,90.8,91.5,91.2,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.3,90.3,90.3,88.3
Chile,78.9,78.9,78.9,77.8,76.7,75.4,75.4,78,78,78.4,77.8,78.4,79.7,80.8,82.8
China,29.7,30.1,30.4,30.9,31.4,31.4,30,30,30,31.4,31.4,31,33.2,22.6,22.7
Cote d'Ivoire,33.8,33.3,32.7,31.4,30.2,30.8,32.5,32.5,35.3,33.1,38.1,39.3,41.5,40.5,41.1
Cameroon,32.7,33.6,34.6,34.4,34.1,34.1,34.4,34.1,34.1,36.6,34.6,36.1,32.8,28.5,27.7
"Congo, Dem. Rep.",27.6,25.2,22.8,22.1,21.5,21.5,19.2,18.3,17.5,21.1,19.3,16.1,14.9,11.3,11.3
"Congo, Rep.",31.9,30.6,29.4,29.1,28.9,28.9,28.9,28.9,28.9,29.1,29.1,32.5,33.1,31.1,31.1
Colombia,64,64.7,65.4,65.5,65.5,66.3,66.3,65.5,65.5,66.2,66.7,66.7,69.6,71.3,70.4
Comoros,39,37.4,35.8,35,34.1,35.2,35.2,35.2,35.2,37.1,37.1,37.1,37.1,31.5,30.9
Cape Verde,74.3,76.2,78.1,78.8,79.4,79.2,79.2,79.2,78.1,78.1,79.4,78.8,78.8,77.8,76.5
Costa Rica,80.4,80.4,80.4,80.4,80.4,81,81,80.3,80.3,79.6,78.8,78.8,80.7,81.3,81.6
