country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,3000,2920,2700,2950,2960,2740,2970,2920,2940,2530,2510,2660,2720,2710,2750,2820,2490,2620,2620,2480,2480,2480,2520,2450,2400,2400,2730,2520,2460,2310,2040,1890,1910,1820,1840,1840,1870,1900,1850,1790,1740,1830,1890,1970,1950,1970,2050,2040,2080,2100,2110,2100,2090,2100,2040,2030,2050,2040
Angola,1800,1820,1850,1860,1880,1890,1920,1860,1950,1970,2000,1960,1920,1880,1860,1890,1950,1990,1970,1970,1890,1760,1730,1670,1690,1640,1630,1610,1590,1640,1610,1630,1560,1640,1690,1730,1730,1750,1810,1790,1830,1920,1980,2030,2080,2120,2170,2250,2300,2350,2410,2380,2470,2420,2380,2340,2370,2390
Albania,2220,2240,2160,2270,2250,2250,2260,2340,2400,2420,2360,2390,2430,2490,2490,2680,2780,2690,2610,2600,2680,2660,2800,2720,2570,2690,2500,2590,2570,2570,2570,2650,2800,2880,2720,2840,2730,2730,2800,2730,2800,2860,2770,2790,2870,2860,2860,2950,2990,3080,3130,3180,3190,3270,3280,3380,3390,3360
Netherlands Antilles,2950,3060,3130,3140,3110,3050,3110,3180,3150,3260,3290,3180,3180,3220,3150,3390,3460,3440,3540,3580,3740,3750,3810,3880,2710,2800,2820,2670,2660,2630,2620,2760,2880,2830,2870,2910,2920,2960,3020,3080,3050,3070,3060,3080,3090,3090,3070,3080,3100,3110,,,,,,,,
UAE,2890,2780,2740,2620,2590,2690,2770,2930,2940,2930,2790,2710,3340,3010,3140,3160,3140,3190,3070,3390,3400,3430,3480,3650,3480,3420,3530,3390,3370,3080,3070,3200,3230,3320,3260,3250,3260,3310,3380,3300,3320,3360,3340,3290,3210,3200,3190,3150,3170,3160,3210,3230,3280,3400,3410,3370,3340,3310
Argentina,3110,3080,3030,3080,3180,3140,3220,3270,3300,3330,3170,3060,3010,3200,3260,3190,3170,3230,3200,3220,3200,3060,2990,3030,3120,3030,3100,3010,2960,2910,3010,3080,3120,3160,3160,3160,3130,3160,3270,3260,3210,2980,3010,3030,3110,3110,3150,3160,3130,3160,3160,3200,3230,3250,3310,3250,3270,3310
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,2100,2180,2270,2320,2330,2320,2290,2240,2240,2260,2430,2550,2670,2760,2760,2870,2820,2770,2790,2880,2930,3070,3090,3050,3070,3000
Antigua and Barbuda,2010,2190,2050,2130,2220,2170,1960,2010,2060,2240,2170,1960,1860,1800,1860,1790,1710,1650,1750,1970,2050,1950,2020,2250,2190,2210,2270,2360,2490,2470,2530,2550,2380,2260,2190,2190,2160,2150,2160,2150,2090,2070,2070,2110,2330,2330,2410,2380,2320,2320,2370,2290,2420,2400,2410,2400,2450,2450
Australia,3090,3110,3170,3150,3100,3170,3110,3130,3130,3160,3180,3220,3100,3020,3090,3120,3070,3020,3010,3060,3070,3100,3040,3080,3120,3080,3110,3120,3130,3170,3120,3130,3040,3050,3100,3080,3100,3020,3010,2990,3050,3080,3100,3050,3100,3160,3200,3200,3210,3210,3240,3260,3280,3410,3390,3420,3410,3390
Austria,3190,3190,3250,3270,3220,3230,3190,3220,3150,3220,3230,3210,3290,3200,3140,3240,3190,3210,3280,3360,3350,3400,3360,3360,3370,3430,3420,3420,3480,3510,3560,3550,3510,3560,3510,3550,3490,3610,3670,3730,3730,3650,3610,3610,3640,3720,3740,3720,3720,3720,3740,3740,3770,3670,3660,3660,3690,3700
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320,2240,2160,2130,2220,2020,2120,2190,2280,2370,2460,2550,2640,2840,3010,3020,3030,3000,2970,3040,3060,3120,3090,3090,3080,3140,3150
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3710,3750,3750,3720,3720,3720,3720,3710,3700,3700,3710,3720,3720,3730,3790,3800,3770,3770,3770
Benin,1740,1760,1700,1670,1810,1800,1830,1940,1870,1810,1890,1800,1880,1750,1600,1900,1840,1880,1980,1880,1830,1860,1750,1980,1970,1990,1820,1930,2110,2130,2200,2140,2160,2180,2200,2250,2240,2240,2230,2250,2320,2400,2360,2460,2440,2450,2560,2520,2570,2560,2600,2610,2620,2740,2730,2740,2760,2760
Burkina Faso,1330,1310,1450,1560,1570,1560,1590,1600,1600,1550,1520,1460,1430,1460,1510,1570,1400,1580,1680,1560,1510,1670,1590,1550,1730,2040,2030,2020,2090,2200,2230,2290,2310,2340,2340,2340,2310,2290,2340,2320,2330,2410,2490,2510,2460,2560,2550,2590,2640,2680,2660,2710,2720,2740,2750,2740,2720,2740
Bangladesh,2150,2130,2170,2160,2120,2110,1970,2070,2130,2200,2030,1880,1980,2050,1950,2090,1900,2030,2080,2020,2000,2030,2050,2030,2070,2070,2140,2110,2090,2110,2120,2110,2010,2000,2040,2050,2100,2160,2270,2260,2330,2310,2350,2380,2370,2370,2420,2390,2430,2440,2430,2440,2450,2490,2520,2520,2560,2560
