country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.58,1.59
Angola,5,2.68,3.57,3.15,1.76,3.26,6.06,3.74,4.83,4.12,4.38,6.06,5.75,6.4,10.1,7.18
Albania,5.26,6.34,6.47,6.1,7.18,7.03,7.24,7.32,7.64,9.23,9.79,9.05,8.46,8.21,8.42,8.42
Andorra,23.6,23.8,23.2,28.7,20.8,19.1,19.2,20,22,22.7,22,22.8,21.3,21.3,21.3,21.3
UAE,8.09,7.13,8.76,8,8.01,7.64,7.73,7.98,8.35,8.21,8.7,8.95,8.93,8.85,8.76,8.79
Argentina,15.3,15.2,15,14.9,15.1,14.7,14.3,15.3,14.8,15.2,14.3,14.4,13.9,13.8,14.7,14.7
Armenia,8.3,8.44,7.71,7.68,6.87,4.61,6.73,6.19,6.76,6.76,6.79,7.42,6.81,7.24,6.62,6.42
Antigua and Barbuda,12.9,12,12,12,11.8,12.1,9.37,8.82,9.84,10.6,10.2,8.75,9.68,10.1,7.96,16.7
Australia,13.1,13.6,14.5,14.5,15.4,15.1,15.4,16.3,15.9,16.5,16.7,16.8,17.2,16.8,16.8,16.8
Austria,12.5,12.4,13.8,14.1,14.4,14.7,14.8,15,15,14.5,15.7,15.7,16,16.2,16.2,16.2
Azerbaijan,6.93,8.43,6.59,5.89,5.71,5.35,5.57,5.15,4.8,5.92,5.15,4.27,4.57,3.1,4.54,4.22
Burundi,7.01,7.01,7.01,7.01,6.38,7.46,8.29,8.23,5.43,9.15,11.6,13.2,11.8,8.16,8.14,8.14
Belgium,11.2,11.8,11.4,11.7,12,12.3,12.7,12.6,14.7,15.6,14.6,14.6,14.7,15.1,15.1,15.1
Benin,10.4,11.2,10.3,12.5,12.5,9.99,12,9.67,10.7,10.8,11.1,12.1,9.9,9.4,9.2,9.6
Burkina Faso,9.05,11.1,9.14,9.81,9.31,8.76,9.81,11.9,12.5,15.3,18.7,16.2,14.8,16.3,13.6,13.5
Bangladesh,8.84,9,8.74,8.64,8.12,7.56,8.07,8.23,7.86,8.17,7.46,8.44,8.41,6.15,8.01,7.92
Bulgaria,8.52,7.39,11.2,9.52,9.91,9.13,10.6,11.7,12,11.5,11.9,11.4,9.98,10.7,9.83,9.83
Bahrain,11.3,11.6,11.2,10.5,11.2,10.2,10.3,9.47,9.64,9.43,10,9.49,9.82,10.8,11.4,11.4
Bahamas,14.2,13.9,13.7,13.8,14.4,14.5,13.6,14.6,14.9,15.2,14.7,16.5,15.7,15.2,15.3,14.2
Bosnia and Herzegovina,9.5,9.5,9.5,7.84,10.4,11.4,9.44,10.6,13.9,13.4,12.7,12.3,13.3,14.1,15.1,16.6
Belarus,11.5,11.5,12.1,10.1,9.97,10.1,10.1,9.83,10.3,10.8,10.5,9.46,9.08,6.97,8.4,9.95
Belize,10.5,8.17,8.95,7.71,6.11,6.51,7.36,7.39,8.5,8.05,9.29,9.25,10.6,10.5,11.8,11.3
Bolivia,10.6,9.4,9.05,10.2,10.5,9.76,10,11.2,9.09,10.1,10.9,9.7,7.64,7.11,7.32,7.26
Brazil,8.36,8.13,7.03,5.63,5.48,4.08,4.75,5,4.41,5.15,4.7,5.15,5.42,5.73,5.86,7.08
Barbados,13.5,12.4,11.3,11.7,11.9,11.7,11.9,12.4,12.3,12.4,11.8,12.4,9.52,9.69,7.78,9.28
Brunei,4.21,6.08,5.89,6.46,6.02,6.25,6.61,5.6,7.35,6.86,6.9,6.67,6.72,7.26,7.46,8.47
Bhutan,5.94,8.33,9.45,11.6,12.6,12.2,9.8,17.1,10.9,10.3,9.91,12.5,13.3,13.8,12.1,10.5
Botswana,5.53,5.81,6.36,5.63,5.79,7.56,9.74,10.6,10.1,17.3,16.9,16.4,18.4,16.6,17,17
Central African Republic,7,10,9,5.83,6.69,10.1,11.5,10.2,12.5,11,7.79,9.41,10.4,8.45,8.45,8.45
Canada,13.3,13.4,13.9,14.2,14.6,15.1,15.5,16.2,16.7,17.2,17.6,17.6,17.9,18.1,18.1,18.1
Switzerland,14.7,15.4,15.4,15.4,16.4,16,17.3,17.4,18.1,18.4,18.9,19,19.5,19.7,19.9,19.9
Chile,12.7,12.8,13,13.6,13.4,14.1,14.8,15,12.4,12.9,13,14,15.9,15.6,16.2,16.3
China,15.2,14.6,13.9,12.9,11.7,10.9,9.34,9.41,9.68,10.1,9.89,9.9,10.9,11.6,12.1,12.1
Cote d'Ivoire,4.74,5.89,6.63,6.51,6.51,7.25,5.62,5.21,4.84,5.26,4.5,4.94,6.6,6.54,5.08,5.06
Cameroon,6.1,5.93,6.57,4.86,5.03,6.09,6.79,7.94,8.21,7.07,7.67,7.41,6.77,5.57,7.34,8.53
"Congo, Dem. Rep.",2.16,1.62,2.45,2.02,2.6,1.78,2.79,2.44,10.7,5.97,7.41,7.07,8.47,12.7,12.5,9.11
