country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.46,,,,,0.39,,,,,0.37,,,,,0.34,,,,,0.35,,,,,0.99,,,,,0.37
Angola,0.28,,,,,0.29,,,,,0.28,,,,,0.32,,,,,1.44,,,,,2.27,,,,,2
Albania,2.01,,,,,2.29,,,,,2.45,,,,,2.1,,,,,1.79,,,,,1.8,,,,,1.7
Andorra,71.3,,,,,69.2,,,,,64.5,,,,,63.8,,,,,61.6,,,,,54.2,,,,,59
UAE,71.5,,,,,75.5,,,,,78.1,,,,,71.5,,,,,85.6,,,,,86.3,,,,,88.1
Argentina,5.06,,,,,4.58,,,,,4.18,,,,,4.3,,,,,4.42,,,,,4.84,,,,,5.05
Armenia,18.6,,,,,21.6,,,,,21.4,,,,,15.7,,,,,7.34,,,,,6.54,,,,,6.42
Antigua and Barbuda,19.2,,,,,25.6,,,,,30.4,,,,,30.4,,,,,30,,,,,30,,,,,30
Australia,23.3,,,,,23.1,,,,,23.1,,,,,24.2,,,,,26.6,,,,,28.1,,,,,30.1
Austria,10.3,,,,,11.2,,,,,12.3,,,,,13.7,,,,,15.2,,,,,17.1,,,,,19.3
Azerbaijan,4.98,,,,,4.43,,,,,4.03,,,,,3.53,,,,,3.07,,,,,2.75,,,,,2.49
Burundi,6.12,,,,,4.26,,,,,1.97,,,,,2.62,,,,,2.85,,,,,2.94,,,,,2.9
Belgium,12.8,,,,,12.6,,,,,12.3,,,,,11.8,,,,,13.8,,,,,15.8,,,,,17.3
Benin,1.54,,,,,1.79,,,,,1.96,,,,,3.11,,,,,3.36,,,,,3.46,,,,,3.25
Burkina Faso,3.97,,,,,4.6,,,,,4.48,,,,,4.45,,,,,4.32,,,,,3.89,,,,,3.46
Bangladesh,0.85,,,,,0.81,,,,,0.77,,,,,0.76,,,,,0.91,,,,,0.91,,,,,1.28
Bulgaria,0.24,,,,,0.39,,,,,0.54,,,,,0.79,,,,,1.03,,,,,1.72,,,,,2.65
Bahrain,34.9,,,,,36.5,,,,,36,,,,,45.4,,,,,53.7,,,,,52.7,,,,,55
Bahamas,10.5,,,,,11.3,,,,,12.2,,,,,14,,,,,15.4,,,,,15.8,,,,,16.2
Bosnia and Herzegovina,1.25,,,,,1.81,,,,,2.21,,,,,1.26,,,,,1.05,,,,,1.13,,,,,1.1
Belarus,12.3,,,,,11.8,,,,,11.4,,,,,11.6,,,,,11.6,,,,,11.5,,,,,11.3
Belize,16.2,,,,,16.2,,,,,14.8,,,,,14.6,,,,,14.4,,,,,15.1,,,,,15.6
Bolivia,1.07,,,,,1.1,,,,,1.1,,,,,1.17,,,,,1.22,,,,,1.32,,,,,1.41
Brazil,0.54,,,,,0.46,,,,,0.39,,,,,0.34,,,,,0.3,,,,,0.35,,,,,0.51
Barbados,9.21,,,,,9.86,,,,,10.5,,,,,11.1,,,,,11.6,,,,,12.1,,,,,12.1
Brunei,28.3,,,,,28.5,,,,,28.9,,,,,27,,,,,25.9,,,,,24.8,,,,,25.6
Bhutan,4.49,,,,,5.23,,,,,5.44,,,,,6.21,,,,,7.06,,,,,7.02,,,,,6.95
Botswana,2.14,,,,,2.73,,,,,4.56,,,,,4.71,,,,,4.77,,,,,4.86,,,,,4.69
Central African Republic,2.4,,,,,3.09,,,,,3.39,,,,,2.39,,,,,2.16,,,,,1.82,,,,,1.83
Canada,15.7,,,,,16.7,,,,,18,,,,,18.9,,,,,19.8,,,,,20.6,,,,,21.3
Switzerland,20.9,,,,,21.1,,,,,22,,,,,24.4,,,,,26.6,,,,,27.2,,,,,28.8
Chile,0.81,,,,,0.99,,,,,1.16,,,,,1.71,,,,,2.2,,,,,3.56,,,,,8.61
China,0.03,,,,,0.04,,,,,0.04,,,,,0.05,,,,,0.06,,,,,0.07,,,,,0.07
Cote d'Ivoire,15.2,,,,,14.6,,,,,13.2,,,,,12.3,,,,,11.5,,,,,10.6,,,,,9.72
Cameroon,2.26,,,,,1.8,,,,,1.46,,,,,1.5,,,,,1.43,,,,,2.18,,,,,2.18
"Congo, Dem. Rep.",2.18,,,,,4.37,,,,,1.58,,,,,1.14,,,,,0.91,,,,,1.06,,,,,1.06
"Congo, Rep.",5.49,,,,,7.08,,,,,9.78,,,,,8.8,,,,,9.95,,,,,8.03,,,,,7.02
Colombia,0.32,,,,,0.29,,,,,0.28,,,,,0.25,,,,,0.29,,,,,0.34,,,,,3.74
Comoros,3.42,,,,,2.93,,,,,2.54,,,,,2.16,,,,,1.83,,,,,1.61,,,,,1.44
Cape Verde,2.64,,,,,2.58,,,,,2.58,,,,,2.74,,,,,2.92,,,,,2.84,,,,,2.84
Costa Rica,13.4,,,,,10.3,,,,,7.85,,,,,8.36,,,,,8.86,,,,,8.49,,,,,10.2
Cuba,0.33,,,,,0.24,,,,,0.17,,,,,0.1,,,,,0.07,,,,,0.04,,,,,0.03
Cyprus,5.71,,,,,7.24,,,,,8.49,,,,,11.9,,,,,16.9,,,,,15.2,,,,,15.8
Czech Republic,1.07,,,,,1.6,,,,,2.15,,,,,3.14,,,,,3.78,,,,,3.93,,,,,5.05
Germany,7.51,,,,,9.2,,,,,11.1,,,,,11.5,,,,,12.1,,,,,12.5,,,,,18.8
Djibouti,20.7,,,,,15.8,,,,,14,,,,,11.8,,,,,12.2,,,,,12.3,,,,,12.1
Dominica,3.58,,,,,4.39,,,,,5.35,,,,,6.72,,,,,11.4,,,,,11.4,,,,,11.5
Denmark,4.57,,,,,5.79,,,,,6.95,,,,,8.12,,,,,9.02,,,,,10.5,,,,,12.4
Dominican Republic,4.08,,,,,4.14,,,,,4.2,,,,,4.13,,,,,4.08,,,,,5.34,,,,,5.57
Algeria,1.06,,,,,0.91,,,,,0.81,,,,,0.6,,,,,0.6,,,,,0.6,,,,,0.57
Ecuador,0.77,,,,,1,,,,,1.19,,,,,1.37,,,,,2.5,,,,,2.39,,,,,4.45
Egypt,0.31,,,,,0.27,,,,,0.27,,,,,0.38,,,,,0.37,,,,,0.38,,,,,0.53
Eritrea,0.52,,,,,0.56,,,,,0.56,,,,,0.56,,,,,0.5,,,,,0.48,,,,,0.39
Spain,2.1,,,,,2.56,,,,,4.06,,,,,9.33,,,,,13.4,,,,,12.6,,,,,14.6
