country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500k,1.73M,3.88M,4.49M,4.71M,4.42M,4.65M,5.09M,5.51M,5.62M,5.64M,6.34M,6.31M,4.55M,3.37M,2.73M,2.68M,2.67M,2.68M,2.67M,2.6M,3.63M,3.84M,2.54M,2.16M,2.43M,2.18M,2.12M,3.07M,2.86M,2.92M,3.09M,2.7M,2.65M,2.63M,2.68M,2.93M,2.87M,2.96M,2.99M,2.98M,2.83M,2.98M,3.11M
Angola,,,,,,,,,,150k,150k,170k,175k,200k,220k,304k,356k,381k,408k,414k,420k,422k,427k,497k,502k,499k,530k,646k,653k,449k,457k,466k,298k,358k,317k,355k,392k,408k,409k,408k,382k,300k,324k,283k,247k,250k,268k,319k,353k,439k,480k,450k,341k,238k,224k,208k,187k,172k,142k,136k,129k,20.4k,11.7k,11.2k,15.1k,13.2k,16.1k,17.1k,18.9k,20.6k,24.1k,25.7k
Albania,,,,,,,,,,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,0,2000,1980,1610,1680,1680,1650,1610,1580,1590,90,129,358,367,1820,3540,4360,4750,5020,5800,5780,5380,5350,6290,9620,11.6k,15.7k,14.9k,13.8k,15.3k,16.4k,17k,16.8k,17.3k,16.1k,15.7k,16.3k,19.9k,25.3k,52.6k,34.8k,30.9k,34.6k,34k,33.2k,42.2k,44.8k
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,12,5,15,10,15,10,5,5,5,6,5,5,10,5,5,0,0,5,5,11
UAE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,25,47,65,38,74,46,270,315,263,433,442,490,593,125,152,194,263,344,441,336,362,375,386
Argentina,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,38,38,1020,42,42,51,52,47,46,103,332,196,111,97,467,330,218,157,140,585,2170,2110,2100,1900,1290,1140,1060,1280,1180,758,637,560,476,452,413,346,339,473,601,1030,1290,1900,2240
Armenia,,,,,,,,,,,,,,170,0,0,0,200,200,200,4070,3500,0,0,0,0,440,420,700,333,333,733,333,333,333,528,208,300,0,0,0,195k,200k,202k,201k,203k,204k,193k,193k,11k,13.3k,18.9k,18.1k,17.5k,18.3k,20.3k,19.4k,20.1k,22.1k,20.5k,19.1k,18.8k,17.4k,18.1k,19.7k,23.8k,25.7k,24.7k,22.1k,19.2k,21.5k,25k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,46,27,26,20,26,24,50,68,60,64,80,78,68,68,112,162,154,182,159,160,104
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,23,17,18,41,34,57,46,32,48,43,52,32,27,21,25,20,27,70,32,37,75
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,49,53,54,63,47,33,32,82,79,49,62,46,24,15,15,10,10,20,15,5,5,5,36,34,28,18,28,31
