country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.035,,,,,0.063,,,,,0.065,,,,,,,,,,,0.077,,,,,0.183,0.179,,0.129,0.109,,,0.143,,,,0.11,,,,0.208,,,,,0.166,0.182,0.183,0.22,0.245,0.259,0.247,0.291,0.304,0.291,0.284,0.245,0.304,0.214,0.254,
Angola,0.067,,,,,0.076,,,,,0.116,,,,,,,,,,,,,,0.059,,,,,,0.042,,,,,,,0.059,,,,,,,0.062,,,,,0.131,,,,,,,,0.212,0.211,,,
Albania,0.276,,,,,0.481,,,,,0.739,0.911,0.845,,,,,1.04,,,1.37,,,1.42,1.41,1.41,,,,,1.37,1.45,1.59,1.37,1.28,1.29,1.31,1.32,1.34,,1.36,1.3,1.17,1.2,1.21,,1.21,1.22,,1.25,1.25,1.23,1.28,1.28,,,1.22,,2.16,1.65,1.88,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,2.44,2.48,,2.54,2.58,2.87,3.3,3.11,3.2,3.04,3.18,,3.6,,,,,,3.63,,,,,,
UAE,,,,,,,,,,,0.909,,,,,,,,,,1.07,,,,0.953,,,,,,,,,,,,,,,,1.72,1.9,1.92,2.02,1.95,1.63,1.44,1.48,1.66,1.5,1.43,1.5,1.56,1.83,2.08,2.3,2.47,2.55,2.66,2.76,2.88,
Argentina,1.35,,,,,1.67,,,,,1.89,,,,,1.87,,,,,,,,,2.68,2.71,2.98,,3.03,,2.68,,2.65,,,,,,3,,,3.25,,,3.19,,,,,,,,,3.94,,3.97,3.99,3.98,,4.07,3.9,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.55,2.5,2.4,2.41,2.51,2.53,2.61,2.67,2.7,2.77,2.82,2.87,2.9,2.92,2.96,,4.55,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.772,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.294,,,,,,,,,,0.349,,,,,,,,,,,,,,,,,,,,0.76,0.919,,3.03,,0.76,1.14,,,0.163,,,,,,,,1.76,0.54,,,,,,,,,2.9,,,,
Australia,,1.1,,,,,1.2,,,,,1.2,,,,,1.5,,,,,1.8,,,1.8,1.9,2,2.1,2.1,2.1,2.17,2.34,2.37,2.4,2.44,2.48,2.4,2.4,2.4,2.45,2.49,2.57,2.56,2.63,2.71,2.78,2.84,3.01,3.02,3.12,3.36,3.31,3.31,3.37,3.45,3.5,3.58,3.68,3.75,3.83,4.1,
Austria,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,,,,,,,,,,,3.01,3.09,3.21,3.3,3.41,3.51,3.59,3.67,3.79,3.79,3.88,3.99,4.06,4.15,4.23,4.35,4.48,4.56,4.63,4.72,4.83,4.88,4.93,5.02,5.08,5.13,5.13,5.18,5.24,5.32,5.35,5.46
Azerbaijan,,,,,,,,,,,,,,,,,,,,,3.36,,,,,3.8,3.88,3.91,3.96,3.99,3.7,3.73,3.69,3.72,3.68,3.7,3.67,3.61,3.54,3.52,3.54,3.51,3.52,3.51,3.51,3.53,3.51,3.65,3.61,3.6,3.58,3.36,3.41,3.37,3.36,3.29,3.23,3.16,3.2,3.11,,
Burundi,0.01,,,,,0.017,,,,,0.017,,,,,0.012,,,,,,,,,0.047,,0.058,,,,0.058,0.059,,0.056,,0.055,,,,,0.052,,,,0.028,,,,,,0.046,0.038,0.051,0.055,0.058,0.047,,0.097,0.094,,0.07,0.065
Belgium,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,,1.5,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3,3.1,3.2,3.27,3.33,3.4,3.46,3.52,3.56,3.62,3.69,3.74,2.8,2.83,2.84,2.85,2.85,2.86,2.86,2.88,2.9,2.92,2.92,2.92,2.94,2.95,2.97,2.98,3.02,3.08,3.08,3.12,3.16,3.21,6.26
Benin,0.04,,,,,0.03,,,,,0.034,,,,,,,,,,0.059,0.059,,0.075,,0.073,,,,0.071,0.051,0.042,0.055,0.057,0.061,0.058,,,,,,,,,0.039,,,,0.061,,0.054,0.056,,,,,0.046,,0.076,0.062,,
Burkina Faso,0.011,,,,,0.014,,,,,0.01,,,,,,,,,,0.018,0.018,,0.018,,,0.004,,,0.029,,,,,,0.034,0.035,0.038,,,,0.04,,,0.053,,,,0.031,0.043,0.044,0.037,0.046,0.046,0.047,0.064,0.062,0.082,0.083,0.091,,
Bangladesh,,,,,,0.123,,,,,0.119,,,,,,,,,,0.12,,,,,0.154,0.144,,,,0.177,0.188,,,,0.201,,0.2,,,,0.247,,0.268,0.277,0.304,0.313,0.326,0.339,0.353,0.362,0.382,0.397,0.418,0.484,0.481,0.492,0.536,0.573,0.627,0.656,0.67
