country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,0,0,0,0,,,,,,1020,1030,20.8k,26.2k,314k,557k,515k,510k,1.01M,1.17M,1.51M,1.7M,1.9M,2.34M,2.84M,3.96M,4.9M,5.02M,5.14M
Angola,0,0,0,0,0,0,112,844,2830,11.4k,17.2k,23k,47.4k,67.2k,87.2k,222k,302k,355k,412k,518k,654k,751k,1.63M,2.32M,5.77M,3.46M,3.75M,4.28M,4.42M,4.56M
Albania,0,0,0,0,0,348,998,1510,2020,2540,3570,10.2k,12.2k,30.3k,75.2k,187k,294k,456k,716k,1.22M,1.33M,1.44M,1.59M,1.66M,1.74M,1.83M,1.92M,2.07M,2.07M,2.01M
Andorra,0,0,0,0,0,0,983,1960,4420,4920,6890,7100,7890,9910,20.5k,29.7k,39.6k,58.6k,58.7k,66.3k,68.4k,67.8k,71.2k,75.9k,76k,75.6k,75.7k,70.5k,70.5k,70.6k
UAE,0,0,0,0,0,2490,9530,88k,194k,443k,740k,868k,985k,1.09M,1.23M,1.84M,2.76M,3.76M,4.47M,5.07M,5.81M,6.98M,7.77M,8.09M,8.33M,8.38M,8.48M,9M,9.48M,9.69M
Argentina,0,0,1000,10k,15k,30k,50k,100k,300k,1.2M,2.6M,3.65M,4.1M,4.54M,6.17M,6.89M,8.22M,10.3M,11.3M,13.8M,18.4M,21.1M,23.3M,25.3M,27.6M,29.3M,30.9M,32.6M,33M,33.3M
Armenia,0,0,0,0,299,1700,3000,3500,4000,30k,39.9k,49.8k,59.5k,138k,147k,157k,167k,177k,181k,442k,719k,920k,1.08M,1.21M,1.59M,1.73M,1.89M,1.91M,1.91M,1.91M
Antigua and Barbuda,0,0,0,0,0,1510,2010,2500,2980,3960,4930,6870,9790,13.7k,19.5k,22k,24.8k,28.6k,32.5k,36.4k,41.4k,46.4k,52.4k,58k,62.7k,65.5k,69k,72.5k,73.2k,73.8k
Australia,99.2k,189k,308k,348k,397k,497k,596k,3.01M,5.73M,7.66M,8.88M,10.1M,10.2M,10.3M,10.5M,12.7M,13.5M,14.5M,15.3M,16.2M,16.8M,17.9M,18.1M,19.4M,19.8M,20.2M,21M,21.3M,21.5M,21.8M
Austria,10.1k,20.1k,50.3k,60.4k,111k,151k,554k,766k,1.24M,1.86M,2.72M,3.17M,2.97M,3.49M,4.46M,4.79M,5.27M,5.77M,6.08M,6.15M,6.32M,6.66M,6.8M,6.9M,6.98M,7.28M,7.38M,7.76M,7.8M,7.86M
Azerbaijan,0,0,0,0,110,160,499,2000,3000,7990,12k,25k,414k,418k,422k,686k,1.03M,1.27M,1.51M,2.45M,4.15M,4.57M,5.02M,6.85M,7.13M,7.41M,7.61M,7.78M,7.94M,8.02M
Burundi,0,0,0,0,0,0,49,489,980,2460,4930,6920,7930,13.9k,24.9k,39.9k,50k,55k,65.8k,75.6k,86.8k,99.4k,113k,121k,136k,494k,543k,288k,297k,307k
Belgium,101,2020,10.1k,20.2k,70.7k,101k,303k,505k,807k,1.41M,3.03M,3.23M,4.8M,5.21M,5.64M,5.89M,6.34M,6.89M,7.11M,7.6M,8.2M,8.99M,8.95M,9.17M,9.54M,9.6M,9.82M,10M,10.2M,10.4M
Benin,0,0,0,0,0,0,103,1550,3100,10.3k,15.5k,25.7k,51.3k,71.5k,91.6k,101k,126k,151k,161k,200k,288k,392k,438k,490k,617k,1.19M,1.3M,2.24M,2.3M,2.36M
Burkina Faso,0,0,0,0,0,0,100,1990,4980,6970,8950,18.8k,24.7k,47.3k,52.2k,63.1k,87.5k,107k,135k,171k,375k,482k,617k,1.55M,1.65M,2.54M,2.6M,3.07M,3.16M,3.25M
