country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,5.72,6.82,6.36,6.63,6.77,7.3,6.98,7.58,7.58
Angola,3.79,2.17,2.26,1.85,1.94,2.41,3.45,2.36,2.64,2.09,1.96,2.42,2.52,3.19,4.95,2.85
Albania,2.56,4.04,4.81,5.34,5.83,6.35,6.04,6.28,6.16,6.88,6.84,6.73,6.88,6.75,6.88,6.55
Andorra,7.64,8.03,8.03,9.85,7.35,7.58,6.79,7.04,7.12,7.11,7.22,7.44,7.55,7.54,7.52,7.52
UAE,2.64,2.46,2.49,3.06,2.9,2.57,2.48,2.72,2.65,2.46,2.32,2.33,2.52,3.01,4.37,3.66
Argentina,8.31,8.03,8.36,8.54,9.35,9.21,9.41,8.32,8.31,8.32,8.45,8.45,8.44,8.44,9.53,8.1
Armenia,6.45,5.81,5.79,5.78,5.7,6.27,5.95,5.41,5.57,5.49,4.86,4.18,3.88,3.77,4.59,4.4
Antigua and Barbuda,4.88,4.61,4.64,4.64,4.68,4.77,4.61,4.62,4.71,4.67,4.66,4.52,4.45,4.3,4.81,6.03
Australia,7.22,7.41,7.46,7.63,7.76,8.03,8.12,8.36,8.28,8.54,8.43,8.46,8.48,8.73,8.73,8.73
Austria,9.52,9.46,9.78,9.93,10.1,9.9,10,10,10.2,10.3,10.3,10.2,10.2,10.4,11,11
Azerbaijan,5.86,6.2,5.49,5.49,5.4,4.68,4.48,4.47,6.55,7.9,7.8,6.09,5,4.28,5.79,5.88
Burundi,5.68,5.83,5.32,5.75,5.61,6.33,6.78,6.99,7.24,9.93,12.2,14.3,13.9,12.4,11.4,11.6
Belgium,7.61,7.91,7.76,7.89,8.08,8.12,8.29,8.46,10,10.1,10,9.59,9.64,10,10.8,10.7
Benin,4.69,4.59,4.31,4.39,4.59,4.34,4.69,4.27,4.63,4.56,4.73,4.75,4.6,4.2,4.3,4.1
Burkina Faso,4.3,4.52,4.53,4.68,5.26,5.13,4.94,5.01,5.52,6.11,6.69,6.25,6.33,5.94,6.59,6.74
