country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,11,3,10,10,16,17,18,31,40,38,30,23,22,25,40,41,47,43,35,38,30,43,46,44,51,58,60,63,66,64,68,71,78,72,74,76,78,84,89,86,87
Angola,,,,26,35,44,44,55,56,48,48,53,47,53,48,60,65,78,60,49,53,70,76,54,63,51,54,75,73,70,79,74,73,71,72,64,59,69,72,69,58
Albania,94,94,95,96,96,96,96,96,96,96,94,82,97,98,99,98,99,99,97,97,97,97,98,97,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,
Andorra,,,,,,,,,,,,,,,,,,90,90,97,98,97,98,99,99,98,93,96,99,99,99,99,99,96,97,97,98,99,99,99,99
UAE,34,45,46,51,59,76,78,92,93,96,96,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,96,98,99,99,99,99,99,99,99
Argentina,62,77,77,79,79,90,99,94,91,92,99,99,99,99,99,99,99,99,98,97,95,92,95,99,99,99,99,99,99,99,99,99,99,99,99,96,92,95,99,86,77
Armenia,,,,,,,,,,,,,93,95,95,98,97,95,96,97,97,97,97,96,96,94,92,94,98,99,97,98,97,99,99,99,99,99,99,99,
Antigua and Barbuda,54,79,86,99,94,99,96,99,99,99,99,97,99,99,99,99,99,99,99,99,96,99,99,99,97,99,99,99,99,99,99,99,98,99,99,99,92,99,96,99,99
Australia,33,43,68,94,94,94,95,95,95,95,95,93,91,90,88,87,87,85,83,88,91,95,95,95,95,95,95,94,94,94,94,94,94,94,94,95,95,95,95,96,97
Austria,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,95,95,87,79,81,84,83,84,83,86,83,85,83,83,86,89,92,95,98,96,95,96,94,94,94
Azerbaijan,,,,,,,,,,,,,69,74,77,76,76,77,79,82,81,83,82,83,82,82,86,88,92,95,98,99,98,98,98,98,98,98,97,98,94
Burundi,,59,56,54,46,58,77,82,54,99,97,89,90,73,61,92,90,87,86,84,85,87,88,90,91,89,98,99,99,98,96,96,98,98,95,96,96,93,92,95,96
Belgium,99,99,95,95,95,97,99,97,95,95,95,93,95,97,96,94,95,94,95,95,96,96,96,96,96,97,99,99,99,98,98,98,99,99,99,99,98,98,98,98,
Benin,,,,,,27,41,46,50,75,92,82,84,89,94,85,80,78,83,87,92,91,90,90,89,88,93,97,96,93,90,88,96,95,96,96,88,88,88,88,88
Burkina Faso,,,,,,38,52,57,70,83,95,88,85,80,75,72,73,75,79,77,81,80,90,83,99,99,99,99,99,99,99,99,96,96,98,98,98,98,98,98,98
Bangladesh,,1,1,2,2,2,4,15,26,56,86,87,89,93,95,93,90,92,91,92,94,95,95,93,99,97,97,98,99,99,98,99,98,99,99,99,99,99,99,99,99
Bulgaria,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,97,98,99,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,96,96,96,97
Bahrain,72,75,79,83,86,90,92,95,96,96,94,99,94,94,96,95,96,98,99,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Bahamas,36,55,69,66,69,86,85,87,85,87,86,93,94,91,91,90,92,93,92,86,99,99,94,93,95,93,96,96,94,98,99,98,99,97,96,95,94,94,90,89,
Bosnia and Herzegovina,,,,,,,,,,,,,65,48,85,69,80,97,92,99,93,95,91,94,95,95,97,98,96,97,96,94,96,97,98,95,97,97,95,95,
Belarus,,,,,,,,,,,,,95,96,97,96,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,98,98,98,98
