country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,0.64,0.68,0.73,0.76,0.8,0.83,0.86,0.88,0.9,0.91,0.56,0.74,2.6,1,0.18,0.83,1.3,0.72,0.45,0.18,0.11
Afghanistan,68,63,57,58,52,47,43,39,41,45,43,44,45,44,43,40,34,30,29,26,28
Angola,87,91,78,73,86,95,74,91,99,99,107,97,98,87,97,87,88,96,72,62,63
Anguilla,9.6,9.6,9.6,9.5,9.5,9.2,9.4,9.3,8.9,8.8,6.2,9.1,9,9,12,9.2,9.2,8.6,9.3,8.5,8.7
Albania,0.74,0.66,0.64,0.62,0.86,0.41,0.38,0.56,0.57,0.21,0.35,0.36,0.36,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.47
Andorra,1.7,1.4,0.67,1.4,0.87,1.2,1.4,0.57,0.45,0.9,0.78,0.34,1,0.58,0.72,0.48,0.49,0.12,0.25,0.61,1.4
Netherlands Antilles,0.26,0.48,0.81,0.48,0.59,0.43,0.26,0.29,0.27,0.25,,,,,,,,,,,
UAE,0.68,0.67,0.67,0.67,0.67,0.66,1.1,0.73,0.83,0.74,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67
Argentina,2.9,2.7,2.7,2.5,2.3,2.3,2.2,2.2,2,2,1.7,2,1.9,1.9,1.8,1.8,1.9,1.8,1.8,1.8,2.1
Armenia,5.6,5.3,6.1,5.7,6.1,6.7,7,7.2,6.9,6,5.9,4.6,5.4,4.3,3.6,3.4,2.5,2.2,1.7,1.6,1.9
American Samoa,0.49,0.48,0.32,0.48,0.79,0.95,0.64,0.49,0.49,0.67,0.67,0.51,0.57,0.55,0.53,0.68,0.46,0.85,0,0.17,0.02
Antigua and Barbuda,1.3,1.3,1.3,1.3,1.1,1.9,2,1.3,1.2,1.6,2.9,2.3,1.6,2.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
Australia,0.38,0.52,0.42,0.33,0.38,0.35,0.34,0.28,0.34,0.3,0.28,0.28,0.17,0.25,0.22,0.24,0.23,0.23,0.24,0.24,0.23
Austria,1.1,0.85,0.97,0.68,0.66,0.75,0.76,0.63,0.65,0.63,0.51,0.71,0.54,0.85,0.87,0.78,0.48,0.44,0.57,0.48,0.48
Azerbaijan,19,18,16,15,12,9.8,7.3,4.7,6.5,8.3,9,7.3,4.9,4.9,4.9,6.1,6.2,6.1,6.1,6.1,7.6
Burundi,116,101,89,75,66,60,58,52,44,38,33,35,32,27,28,28,24,22,24,24,25
Belgium,1.2,1.2,0.98,1.1,0.88,0.99,0.71,0.93,0.85,0.64,0.69,0.59,0.61,0.57,0.43,0.6,0.35,0.35,0.35,0.35,0.34
Benin,25,24,22,20,19,17,15,15,14,14,15,13,14,14,13,12,12,14,12,11,9.6
Burkina Faso,28,26,25,24,22,20,20,20,17,15,15,13,13,12,12,11,10,10,9.3,11,11
Bangladesh,71,72,70,69,66,60,54,54,53,51,53,54,51,47,46,42,39,34,29,24,27
Bulgaria,4.4,4,3.9,3.8,3.7,3.7,3.7,3.8,3.3,2.8,2.8,2.4,2.4,2.2,1.8,1.7,1.6,1.4,1.4,1.4,1.4
Bahrain,2.7,1.8,1.7,0.43,1.4,1.2,0.58,1.1,0.86,0.83,0.94,0.36,0.4,0.47,0.53,0.53,0.52,0.52,0.52,0.65,0.71
Bahamas,6.3,4.4,3,2,3.8,2.6,2.7,1.7,2.4,1.5,1.5,2.1,0.77,1.2,1.2,1.6,2.6,1.6,1.1,1.3,0.9
Bosnia and Herzegovina,5,5,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5,4.6,4.2,3.8,3.6,3.5,3.3,3,2.8,3.5
Belarus,8.1,9.3,11,12,12,12,11,11,10,9.6,9.8,9.6,8.6,7.5,6.1,5.4,4.9,4,3.3,3.2,3.6
Belize,3,7.9,6.2,6.3,3.8,3.6,5.6,3.2,6.1,4.9,5.6,5.2,3.2,5.7,2.8,3,4,3.4,3.6,2.7,2.9
