country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,12.4M,13.3M,14.5M,15.8M,17.1M,18.1M,,,,,,21.6M,22.6M,23.7M,24.7M,25.3M,25.9M,26.6M,27.2M,27.4M,28M,28.6M,29.5M,30.4M,31M,31.6M,31.4M,31.4M,32.2M,32.9M
Angola,11.8M,12.2M,12.7M,13.1M,13.5M,13.9M,14.4M,14.9M,15.4M,15.9M,16.4M,16.9M,17.5M,18.1M,18.7M,19.2M,19.8M,20.5M,21.3M,22M,22.7M,23.5M,23.5M,23.7M,21.2M,24.4M,25.1M,25.5M,26.4M,27.3M
Albania,3.29M,3.28M,3.25M,3.2M,3.15M,3.11M,3.1M,3.1M,3.11M,3.12M,3.13M,3.12M,3.11M,3.09M,3.03M,2.9M,2.77M,2.58M,2.29M,1.75M,1.62M,1.49M,1.32M,1.24M,1.16M,1.06M,971k,812k,812k,875k
Andorra,54.5k,56.7k,58.9k,61k,62.7k,63.9k,63.4k,62.4k,59.7k,59.5k,58.5k,60.2k,62.2k,63.3k,55.8k,49.2k,41.4k,24.1k,25.1k,18.1k,16k,15.9k,11.2k,4850,3250,2410,1600,6490,6490,6510
UAE,1.83M,1.94M,2.05M,2.17M,2.29M,2.41M,2.53M,2.58M,2.62M,2.52M,2.39M,2.44M,2.49M,2.62M,2.84M,2.75M,2.54M,2.41M,2.62M,2.85M,2.74M,1.97M,1.37M,1.1M,885k,880k,880k,491k,149k,83k
Argentina,32.6M,33.1M,33.5M,34M,34.4M,34.8M,35.2M,35.6M,35.8M,35.3M,34.3M,33.6M,33.6M,33.6M,32.3M,32M,31.1M,29.4M,28.8M,26.7M,22.5M,20.2M,18.5M,16.9M,15.1M,13.8M,12.6M,11.3M,11.4M,11.5M
Armenia,3.54M,3.51M,3.44M,3.36M,3.28M,3.22M,3.17M,3.13M,3.1M,3.06M,3.03M,3M,2.97M,2.88M,2.85M,2.82M,2.79M,2.76M,2.73M,2.45M,2.16M,1.96M,1.8M,1.68M,1.32M,1.2M,1.05M,1.04M,1.04M,1.04M
Antigua and Barbuda,62.5k,63.4k,64.5k,65.8k,67.2k,67.2k,68.2k,69.2k,70.2k,70.7k,71.1k,70.3k,68.5k,65.6k,60.9k,59.5k,57.9k,55.5k,52.9k,50.3k,46.7k,42.8k,38k,33.5k,29.8k,28.1k,25.5k,22.9k,23.1k,23.3k
Australia,16.9M,17M,17.1M,17.3M,17.4M,17.5M,17.6M,15.4M,12.9M,11.1M,10.1M,9.08M,9.18M,9.28M,9.41M,7.47M,6.98M,6.39M,6.04M,5.6M,5.32M,4.62M,4.81M,3.85M,3.78M,3.7M,3.27M,3.31M,3.35M,3.39M
Austria,7.71M,7.75M,7.78M,7.83M,7.84M,7.84M,7.46M,7.27M,6.8M,6.2M,5.35M,4.92M,5.16M,4.68M,3.76M,3.47M,3.02M,2.55M,2.26M,2.22M,2.09M,1.8M,1.7M,1.66M,1.64M,1.39M,1.37M,1.06M,1.09M,1.1M
Azerbaijan,7.24M,7.36M,7.47M,7.58M,7.68M,7.78M,7.86M,7.92M,7.99M,8.05M,8.11M,8.17M,7.86M,7.94M,8.03M,7.85M,7.6M,7.46M,7.32M,6.48M,4.88M,4.57M,4.24M,2.53M,2.38M,2.21M,2.12M,2.07M,2.01M,2.03M
Burundi,5.44M,5.56M,5.69M,5.8M,5.9M,5.99M,6.06M,6.12M,6.18M,6.26M,6.37M,6.52M,6.7M,6.9M,7.11M,7.32M,7.56M,7.81M,8.06M,8.32M,8.59M,8.86M,9.13M,9.42M,9.71M,9.67M,9.95M,10.5M,10.9M,11.2M
Belgium,10M,10M,10.1M,10.1M,10.1M,10.1M,9.91M,9.72M,9.43M,8.84M,7.26M,7.09M,5.56M,5.21M,4.84M,4.66M,4.28M,3.8M,3.66M,3.26M,2.73M,2.03M,2.14M,1.99M,1.68M,1.69M,1.53M,1.41M,1.3M,1.11M
Benin,4.98M,5.15M,5.33M,5.52M,5.71M,5.91M,6.09M,6.28M,6.47M,6.65M,6.85M,7.05M,7.24M,7.45M,7.66M,7.88M,8.09M,8.3M,8.54M,8.74M,8.91M,9.07M,9.29M,9.51M,9.67M,9.39M,9.57M,8.94M,9.19M,9.44M
Burkina Faso,8.81M,9.05M,9.3M,9.55M,9.82M,10.1M,10.4M,10.7M,11M,11.3M,11.6M,11.9M,12.3M,12.6M,13M,13.4M,13.7M,14.1M,14.6M,15M,15.2M,15.6M,16M,15.5M,15.9M,15.6M,16M,16.1M,16.6M,17.1M
Bangladesh,103M,106M,108M,110M,113M,115M,,120M,123M,125M,128M,130M,132M,135M,137M,139M,140M,140M,141M,141M,142M,143M,143M,143M,133M,134M,130M,136M,137M,142M
Bulgaria,8.84M,8.77M,8.68M,8.58M,8.47M,8.37M,8.23M,8.11M,7.99M,7.83M,7.57M,7.33M,7.15M,6.86M,6.34M,6.15M,5.56M,5.03M,4.54M,4.11M,3.99M,3.84M,3.53M,3.42M,3.23M,3.12M,2.87M,2.6M,2.48M,2.24M
Bahrain,496k,510k,523k,536k,550k,562k,574k,585k,594k,606k,624k,593k,602k,611k,652k,700k,688k,695k,536k,557k,558k,294k,156k,132k,127k,89.5k,28.5k,61.6k,21.3k,4900
Bahamas,256k,261k,266k,271k,276k,277k,279k,283k,284k,283k,274k,267k,252k,250k,249k,244k,245k,246k,235k,231k,202k,126k,103k,103k,85.5k,82.3k,75.6k,57.3k,57.8k,58.4k
Bosnia and Herzegovina,4.46M,4.37M,4.23M,4.08M,3.94M,3.83M,3.76M,3.73M,3.73M,3.74M,3.71M,3.71M,3.66M,3.61M,3.18M,2.96M,2.82M,2.71M,2.45M,2.33M,2.12M,2.05M,1.98M,1.82M,1.74M,1.63M,1.35M,1.18M,993k,992k
Belarus,10.2M,10.2M,10.2M,10.1M,10.1M,10.1M,10M,10M,9.96M,9.88M,9.69M,9.39M,8.87M,8.81M,8.76M,8.71M,7.98M,7.61M,7.28M,6.85M,6.42M,5.68M,5M,4.32M,3.87M,3.57M,2.73M,2.42M,1.97M,1.63M
Belize,188k,191k,194k,198k,202k,207k,212k,219k,225k,229k,233k,240k,247k,254k,249k,236k,221k,225k,226k,229k,232k,229k,233k,230k,217k,211k,204k,199k,203k,207k
Bolivia,6.86M,7.01M,7.16M,7.31M,7.47M,7.62M,7.76M,7.9M,8.05M,8.18M,8.3M,8.4M,8.47M,8.59M,8.67M,8.75M,8.81M,8.55M,8.51M,8.22M,7.8M,7.15M,6.71M,6.64M,7M,7M,6.65M,6.29M,6.38M,6.47M
Brazil,149M,152M,154M,157M,159M,162M,164M,166M,167M,169M,170M,169M,163M,158M,149M,147M,135M,131M,127M,118M,116M,107M,103M,98.4M,92.2M,85.2M,80.7M,67.6M,68.1M,68.7M
Barbados,261k,262k,263k,264k,265k,266k,266k,266k,264k,264k,261k,240k,197k,165k,138k,131k,124k,116k,108k,99.2k,98.5k,94.8k,81.7k,80.2k,70.8k,68.2k,58.4k,52.2k,52.3k,52.4k
Brunei,259k,266k,274k,282k,289k,294k,295k,297k,299k,301k,303k,296k,294k,284k,253k,232k,214k,207k,205k,196k,183k,173k,159k,144k,128k,119k,42k,21.8k,23.2k,21.7k
Bhutan,531k,535k,535k,533k,532k,535k,,,,577k,589k,598k,606k,613k,619k,624k,628k,626k,628k,630k,592k,593k,592k,551k,501k,438k,429k,387k,391k,396k
Botswana,1.29M,1.33M,1.36M,1.4M,1.43M,1.47M,1.5M,1.54M,1.57M,1.59M,1.6M,1.62M,1.65M,1.68M,1.71M,1.74M,1.76M,1.78M,1.8M,1.83M,1.87M,1.83M,1.71M,1.44M,1.32M,1.33M,1.31M,1.17M,1.19M,1.22M
Central African Republic,2.81M,2.88M,2.96M,3.05M,3.14M,3.22M,3.31M,3.39M,3.47M,3.56M,3.64M,3.72M,3.8M,3.88M,3.95M,4.03M,4.11M,4.18M,4.23M,4.26M,4.3M,4.32M,4.3M,4.3M,4.3M,4.32M,4.36M,4.4M,4.46M,4.54M
Canada,27.4M,27.7M,28M,28.2M,28.2M,27.9M,27.5M,25.3M,22.5M,19.3M,14.9M,12.3M,12M,11.3M,10.8M,9.12M,8.98M,8.83M,7.77M,6.65M,6.73M,5.87M,5.94M,5.01M,4.59M,3.6M,3.22M,3.31M,3.34M,3.37M
Switzerland,6.61M,6.64M,6.67M,6.72M,6.75M,6.75M,6.72M,6M,5.33M,4.7M,3.78M,3.22M,2.79M,2.54M,2.36M,2.21M,1.81M,1.72M,1.59M,1.44M,1.26M,1.17M,1.19M,1.11M,1.03M,1.04M,911k,872k,879k,589k
Chile,13.3M,13.5M,13.7M,13.9M,14.1M,14.3M,14.5M,14.6M,14.7M,14.5M,12.8M,12.6M,12.2M,11.8M,11.5M,11.1M,10.7M,10.6M,10.5M,9.87M,9.38M,8.23M,7.82M,7.38M,6.91M,4.2M,2.99M,3.26M,3.31M,3.35M
China,1.18B,1.19B,1.21B,1.22B,1.23B,1.24B,1.25B,1.26B,1.27B,1.27B,1.27B,1.26B,1.25B,1.23B,1.23B,1.22B,1.2B,1.13B,1.05B,968M,899M,849M,799M,754M,729M,699M,662M,649M,652M,655M
Cote d'Ivoire,11.9M,12.4M,12.8M,13.3M,13.7M,14.2M,14.7M,15.1M,15.6M,16M,16.4M,16.8M,17.1M,17.5M,17.8M,18.2M,18.5M,18.8M,19.2M,19.7M,20M,20.4M,20.5M,19.4M,18.3M,14.3M,14M,13.7M,13.3M,16.3M
Cameroon,11.8M,12.1M,12.5M,12.9M,13.2M,13.6M,,14.3M,14.7M,15.1M,15.5M,15.9M,16.3M,16.7M,17.1M,17.5M,17.9M,18.2M,18.6M,19M,19.5M,19.9M,19.9M,19.9M,19M,18.5M,18.4M,18.9M,19.4M,19.9M
