country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.0667,,,,,0.133,,,,,0.2,,,,,0.267,,,,,0.267,,,,,0.333,,,,,0.4,,,,,0.6,,,,,0.867,,,,,1.2,,,,,1.47,,,,,1.93,,,,,2.33,,,,,4.13,,,,,5.2,,,,,7.73,,,,,9.93,10.7,10.7,11.3,12,12.7,12.7,13.3,13.3,14,14.7,14.7,15.3,16,16.7,17.3,18,19.3,20,20.7,21.3,22,22.7,23.3,23.3,24,24,25.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,29.3,29.3,29.3,29.3,29.3,29.3,30,30,30.7,31.3,31.3,31.3,32,32.7,32.7,33.3,34,34
Albania,0.133,,,,,0.133,,,,,0.133,,,,,0.2,,,,,0.267,,,,,0.267,,,,,0.4,,,,,0.467,,,,,0.6,,,,,1.13,,,,,1.93,,,,,3,,,,,4.2,,,,,5.47,,,,,6.87,,,,,8.53,,,,,15.4,,,,,17.3,,,,,15.5,,,,,19.4,,,,,22.1,,,,,26.5,,,,,33,,,,,45,,,,,52.2,52,52,52,52,53.3,54.7,55.3,56.7,57.3,58.7,58,60,60,60.7,60.7,61.3,61.3,61.3,62,62,62,64,64.7,64.7,64.7,66.7,66.7
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,47.3,50.7,67.3,70,65.3,67.3,67.3,67.3,67.3,67.3,68,68,68,68,68,68,68
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,6.13,,,,,9.2,,,,,12.4,,,,,15.9,,,,,19.7,,,,,23.9,,,,,29.8,,,,,37.5,39.3,41.3,43.3,45.3,47.3,48.7,50.7,52,53.3,55.3,56,57.3,58,59.3,60.7,62,62.7,64,64.7,66,66.7,68,68.7,70,70.7,72,72
Argentina,1.87,,,,,2.33,,,,,2.93,,,,,3.6,,,,,4.27,,,,,4.73,,,,,5.2,,,,,6.13,,,,,10.8,,,,,14.5,,,,,17.3,,,,,19.6,,,,,22.7,,,,,25.3,,,,,27.8,,,,,29.8,,,,,30.7,,,,,33.3,,,,,35.5,,,,,37.3,,,,,39.5,,,,,42.9,,,,,44.8,,,,,49.7,,,,,52.5,53.3,53.3,54,54.7,55.3,56.7,57.3,58.7,59.3,60.7,60.7,61.3,62,61.3,60.7,60,59.3,59.3,62,65.3,65.3,65.3,65.3,65.3,65.3,66,66
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,49.9,,,,,50.7,,,,,54,,,,,55.6,,,,,58.3,,,,,61.3,,,,,63.9,,,,,67.2,68,68,68.7,69.3,69.3,70,70.7,71.3,71.3,72,71.3,72,72,72,72.7,72.7,73.3,73.3,74,74,74.7,75.3,76,76.7,77.3,78,78
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,59.3,60,60,60.7,60.7,61.3,61.3,62,62,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.3
Australia,10.7,,,,,11,,,,,11.8,,,,,13.3,,,,,15.2,,,,,17.1,,,,,18.3,,,,,20.5,,,,,22.3,,,,,26.1,,,,,29.5,,,,,32.8,,,,,36.9,,,,,41,,,,,44.6,,,,,48.1,,,,,52.5,,,,,53.7,,,,,55.1,,,,,56.9,,,,,62.3,,,,,66.9,,,,,71.9,,,,,73.5,,,,,74.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,78.7,79.3,79.3,79.3,78.7,78.7,78.7,78,79.3,80,82,82,82.7,83.3,84,84,84.7,85.3,86,86
Austria,14.2,,,,,14.9,,,,,15.7,,,,,16.2,,,,,17.6,,,,,19.3,,,,,21.4,,,,,23.8,,,,,26.3,,,,,28.8,,,,,31.5,,,,,34.1,,,,,36.9,,,,,39.7,,,,,41.9,,,,,43.6,,,,,42.8,,,,,41.2,,,,,39.6,,,,,46.2,,,,,50.9,,,,,53.2,,,,,54.7,,,,,56.1,,,,,57.6,58,58,58.7,58.7,59.3,59.3,59.3,60,60,60,61.3,62.7,64,65.3,66,67.3,77.3,76.7,78,78.7,78.7,78.7,79.3,80.7,80.7,80.7,80.7
