country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.04,,,,,27.4,,,,,,,,,,0.05,,,,,6.32,,,,,75.9,,,,,50.3
Angola,35.8,,,,,28.6,,,,,27.3,,,,,23.9,,,,,5.77,,,,,7.23,,,,,8.53
Albania,4.54,,,,,6.61,,,,,0.69,,,,,0.14,,,,,0.19,,,,,1.8,,,,,0.27
UAE,0.03,,,,,0.02,,,,,0.04,,,,,0.01,,,,,0.01,,,,,0.01,,,,,0.1
Argentina,0.74,,,,,0.46,,,,,0.15,,,,,0.23,,,,,0.23,,,,,0.21,,,,,8.12
Armenia,,,,,,31.6,,,,,42.6,,,,,46.8,,,,,1.57,,,,,10.1,,,,,9.54
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
Australia,2.48,,,,,1.9,,,,,1.62,,,,,1.37,,,,,0.43,,,,,0.86,,,,,2.01
Austria,4.69,,,,,4.8,,,,,4.9,,,,,5.5,,,,,5.35,,,,,10.3,,,,,9.36
Azerbaijan,,,,,,67.9,,,,,16.7,,,,,1.03,,,,,0.69,,,,,0.57,,,,,0.51
Burundi,80.4,,,,,67.9,,,,,21.6,,,,,21.1,,,,,16.8,,,,,18.9,,,,,25.4
Belgium,2.01,,,,,2.46,,,,,1.48,,,,,2.74,,,,,2.41,,,,,4,,,,,3.62
Benin,0.86,,,,,2.19,,,,,2.95,,,,,12.9,,,,,2.34,,,,,0.19,,,,,0.41
Burkina Faso,0.1,,,,,6.42,,,,,0.19,,,,,0.22,,,,,0.16,,,,,4.85,,,,,3.58
Bangladesh,0.01,,,,,1.18,,,,,2.22,,,,,1.99,,,,,17,,,,,16.3,,,,,40.4
Bulgaria,,,,,,4.07,,,,,6.43,,,,,8.54,,,,,9.1,,,,,21.1,,,,,11.7
Bahrain,1.03,,,,,0.43,,,,,,,,,,0,,,,,0.04,,,,,0.05,,,,,0.03
Bahamas,,,,,,0.16,,,,,0.27,,,,,,,,,,0.07,,,,,0.05,,,,,0.05
Bosnia and Herzegovina,,,,,,,,,,,46,,,,,22.8,,,,,18.4,,,,,17.7,,,,,16.6
Belarus,,,,,,2.44,,,,,0.08,,,,,0.07,,,,,0.06,,,,,0.19,,,,,0.27
Belize,100,,,,,26.2,,,,,26.9,,,,,1.54,,,,,0.35,,,,,1.38,,,,,3.51
Bolivia,0.32,,,,,0.82,,,,,0.38,,,,,0.5,,,,,0.6,,,,,0.54,,,,,4.02
Brazil,0.67,,,,,2.64,,,,,,,,,,0.57,,,,,0.88,,,,,4.16,,,,,33.7
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
Botswana,4.43,,,,,0.66,,,,,4.74,,,,,3.73,,,,,3.41,,,,,2.2,,,,,1.15
Central African Republic,5.04,,,,,34,,,,,45.1,,,,,27.5,,,,,24.1,,,,,9.4,,,,,8.45
Canada,3.35,,,,,3.13,,,,,2.27,,,,,2.76,,,,,3.2,,,,,2.09,,,,,2.47
Switzerland,2.94,,,,,5.61,,,,,5.42,,,,,3.46,,,,,2.97,,,,,4.7,,,,,4.87
Chile,0.17,,,,,0.18,,,,,0.19,,,,,0.33,,,,,0.5,,,,,0.46,,,,,28.2
China,75.9,,,,,65.5,,,,,57.8,,,,,44.4,,,,,35.4,,,,,30.9,,,,,29.2
Cote d'Ivoire,7.51,,,,,14.3,,,,,5.58,,,,,1.95,,,,,1.12,,,,,0.11,,,,,0.09
Cameroon,18.8,,,,,18.7,,,,,19.9,,,,,22.1,,,,,36.6,,,,,68.5,,,,,71.9
"Congo, Dem. Rep.",50.2,,,,,78.9,,,,,44.7,,,,,32.8,,,,,28.4,,,,,47.4,,,,,55.3
"Congo, Rep.",2.31,,,,,10.1,,,,,40.6,,,,,21.8,,,,,32.6,,,,,12.6,,,,,10.3
Colombia,0.56,,,,,0.38,,,,,0.21,,,,,0.18,,,,,0.29,,,,,0.21,,,,,93.5
Comoros,,,,,,0.04,,,,,0.07,,,,,,,,,,,,,,,,,,,,
Costa Rica,66.5,,,,,6.65,,,,,2.13,,,,,3.2,,,,,4.9,,,,,1.68,,,,,21.9
Cuba,11.5,,,,,9.45,,,,,5.18,,,,,6.31,,,,,5.72,,,,,7.06,,,,,8.93
Cyprus,0.04,,,,,0.09,,,,,0.12,,,,,11.2,,,,,4.66,,,,,5.27,,,,,16.4
Czech Republic,,,,,,1.6,,,,,0.55,,,,,0.85,,,,,0.88,,,,,1.03,,,,,0.69
Germany,12.2,,,,,17,,,,,10.1,,,,,8.21,,,,,6.59,,,,,7.21,,,,,9.24
Djibouti,44.6,,,,,27.4,,,,,23.1,,,,,11.4,,,,,15.5,,,,,19.6,,,,,25.7
Denmark,13.5,,,,,16.8,,,,,18.9,,,,,10.2,,,,,4.25,,,,,5.08,,,,,5.43
Dominican Republic,0.91,,,,,0.3,,,,,0.14,,,,,,,,,,0.6,,,,,0.25,,,,,5.72
Algeria,61.7,,,,,73.5,,,,,67,,,,,47.8,,,,,43.5,,,,,42.1,,,,,40
Ecuador,0.81,,,,,0.69,,,,,0.63,,,,,6.61,,,,,45.6,,,,,34.4,,,,,64.2
Egypt,1.15,,,,,3.24,,,,,9.75,,,,,35.1,,,,,35.3,,,,,70.9,,,,,59.7
Eritrea,,,,,,8.73,,,,,15.3,,,,,37.8,,,,,31.3,,,,,16,,,,,1.43
Spain,1.01,,,,,0.57,,,,,0.42,,,,,0.13,,,,,0.1,,,,,0.3,,,,,2.79
Estonia,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,0.13,,,,,0.19
Ethiopia,64.2,,,,,48.8,,,,,32.4,,,,,19.6,,,,,27.3,,,,,63.5,,,,,67.7
Finland,3.44,,,,,7.64,,,,,9.6,,,,,6.15,,,,,4.74,,,,,11.8,,,,,8.24
Fiji,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.15,,,,,0.14
France,3.27,,,,,2.55,,,,,2.11,,,,,2.65,,,,,3.41,,,,,4.27,,,,,5.98
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,
Gabon,0.33,,,,,0.46,,,,,9.8,,,,,5.73,,,,,4.85,,,,,0.76,,,,,0.13
UK,1.19,,,,,2.19,,,,,3.94,,,,,5.33,,,,,3.55,,,,,2.01,,,,,2.08
Georgia,,,,,,2.1,,,,,8.41,,,,,3.51,,,,,0.93,,,,,3.54,,,,,3.13
Ghana,2.49,,,,,32.9,,,,,6.78,,,,,19.1,,,,,4.32,,,,,4.65,,,,,2.83
Guinea,80.5,,,,,86.8,,,,,76.3,,,,,28.9,,,,,8.32,,,,,7.14,,,,,5.73
Gambia,0.03,,,,,4.37,,,,,6.58,,,,,4.36,,,,,4.55,,,,,4.08,,,,,2.09
Guinea-Bissau,19.6,,,,,54.9,,,,,37.1,,,,,37.2,,,,,37.4,,,,,39.4,,,,,10.5
Greece,1.37,,,,,0.52,,,,,0.81,,,,,0.95,,,,,4.33,,,,,4.1,,,,,13.9
Guatemala,84.5,,,,,71.7,,,,,1.51,,,,,0.69,,,,,0.21,,,,,0.47,,,,,1.24
Guyana,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.14,,,,,70.8
"Hong Kong, China",0.45,,,,,0.23,,,,,0.04,,,,,0.11,,,,,0.02,,,,,0.09,,,,,0
Honduras,87.7,,,,,79.3,,,,,0.04,,,,,0.26,,,,,0.05,,,,,0.1,,,,,0.47
Croatia,,,,,,29.5,,,,,3.83,,,,,0.51,,,,,0.18,,,,,0.1,,,,,0.26
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.06
Hungary,13,,,,,3.54,,,,,2.26,,,,,2.38,,,,,1.32,,,,,8.64,,,,,1.03
Indonesia,0.46,,,,,0.05,,,,,48.8,,,,,0.05,,,,,0.94,,,,,4.01,,,,,3.84
India,2.8,,,,,3.27,,,,,2.67,,,,,2.35,,,,,3.38,,,,,3.99,,,,,4.25
Ireland,0.16,,,,,0.18,,,,,4.17,,,,,1.62,,,,,1.95,,,,,1.47,,,,,1.8
Iran,81.8,,,,,70.5,,,,,74.8,,,,,38.2,,,,,39.5,,,,,35.9,,,,,35
Iraq,1.08,,,,,58.5,,,,,60.7,,,,,38.6,,,,,31.3,,,,,79.3,,,,,78.5
