country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,0.17,0.3,0.27,0.29,0.29,0.31,0.32,0.33,0.36,0.41,0.43,0.47,0.5,0.51,0.51,0.47,0.41,0.36,0.35,0.32,0.34
Angola,12,22,19,18,22,27,24,14,35,16,39,23,37,33,35,31,30,32,12,8.2,8.8
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Albania,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.09,0.08,0.07,0.07,0.09,0.07,0.06,0.08
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
UAE,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0
Argentina,0.5,0.42,0.38,0.33,0.35,0.34,0.33,0.38,0.35,0.29,0.28,0.38,0.34,0.34,0.33,0.32,0.33,0.31,0.3,0.32,0.6
Armenia,0.2,0.23,0.27,0.34,0.42,0.66,0.6,0.64,0.65,0.63,0.19,0.41,0.62,0.65,0.81,1,0.55,0.64,0.73,0.63,0.94
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0.76,0.75,0,0,0,1.4,0.93,0.34,1,0.22,0,0,0,0,0,0
Australia,0.1,0.09,0.08,0.07,0.07,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Austria,0.18,0.14,0.14,0.11,0.1,0.09,0.07,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Azerbaijan,0.44,0.39,0.41,0.31,0.46,0.56,0.58,0.58,0.79,0.95,0.16,0.12,0.31,0.26,0.34,0.24,0.3,0.23,0.18,0.2,0.25
Burundi,68,54,43,34,29,26,26,23,19,16,12,12,9.6,6.6,6.3,6.5,4.8,4.3,4.3,3.4,3.6
Belgium,0.19,0.19,0.17,0.14,0.16,0.12,0.12,0.11,0.11,0.08,0.13,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05
Benin,8.5,7.4,6.3,5.7,5.2,5,3.7,3.7,4,3.9,4,3.7,3.7,3.7,3.8,3.1,3,3.4,2.8,2.8,2.5
Burkina Faso,13,11,9.4,8.1,7.3,6.7,8.3,8.7,6,4.8,4.2,3.6,3,2.5,2.3,1.7,1.7,1.6,1.6,1.6,1.6
Bangladesh,0.01,0.01,0.02,0.03,0.03,0.05,0.06,0.07,0.15,0.15,0.17,0.19,0.19,0.18,0.18,0.16,0.15,0.13,0.11,0.09,0.11
Bulgaria,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.05,0.06,0.06,0.01,0.02,0.02,0.02,0.02,0.06,0,0.01,0,0,0.04
Bahrain,0.17,0.13,0.11,0.12,0.17,0.09,0.06,0.17,0.18,0.18,0.15,0.17,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.14,0.16
Bahamas,3.5,2.5,1.6,0.89,1.6,1.3,2,0.72,1.1,0.87,0.88,0.67,0.46,0.56,0.65,0.98,2,1,0.56,0.74,0.32
Bosnia and Herzegovina,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Belarus,0.17,0.13,0.14,0.2,0.19,0.3,0.37,0.47,0.46,0.58,0.57,0.6,0.63,0.7,0.74,0.63,0.85,0.61,0.55,0.47,0.82
Belize,0,0,0,0.95,1,1.8,0.72,0.69,1.2,1.1,1.9,1.7,1.2,1.5,1.7,0.89,2.1,1.5,1.7,0.93,1.1
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,3,4.3,3.7,3.4,3,2.9,3.2,3.2,2.7,2.5,2.4,2.1,1.4,1.2,1.7,1.8,1.6,1.7,0.92,0.77,0.84
Brazil,0.8,0.66,0.65,0.63,0.65,0.64,0.65,0.7,0.74,0.74,1.4,1.3,1.3,1.2,1.2,1,0.95,0.96,0.88,0.84,0.94
Barbados,0.13,0.24,0.18,0.3,0.58,0.26,0.15,0.33,0.15,0,0.15,0,0.06,0.06,0.07,0,0.04,0,0.01,0,0.07
Brunei,0.01,0.02,0.04,0.04,0.06,0.11,0.05,0,0,0.11,0.05,0.16,0.1,0,0,0.05,0.15,0.1,0.14,0.1,0.14
Bhutan,2.1,1.8,1.9,1.9,1.9,2.2,2.2,2.5,2.4,2.8,3.2,3,2.7,2.5,0.39,0.32,0.22,0.17,0.07,0.1,0.12
Botswana,225,205,173,166,139,122,146,131,97,89,102,91,65,53,57,66,45,30,37,49,62
