country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500k,1.73M,3.88M,4.49M,4.71M,4.42M,4.65M,5.09M,5.51M,5.62M,5.64M,6.34M,6.31M,4.55M,3.37M,2.73M,2.68M,2.67M,2.68M,2.67M,2.6M,3.59M,3.81M,2.51M,2.14M,2.41M,2.17M,2.11M,3.06M,2.83M,2.89M,3.05M,2.66M,2.59M,2.56M,2.6M,2.67M,2.5M,2.62M,2.68M,2.73M,2.59M,2.71M,5.66M,6.11M
Angola,,,,,,,,,,150k,150k,170k,175k,200k,220k,304k,356k,381k,408k,414k,420k,422k,427k,497k,502k,499k,530k,646k,653k,449k,457k,466k,298k,358k,317k,355k,392k,408k,409k,408k,382k,300k,324k,283k,247k,250k,268k,319k,353k,434k,471k,435k,330k,229k,216k,206k,186k,171k,141k,135k,129k,19.3k,10.3k,9470,11.9k,8390,8290,8240,8180,8200,11.4k,12k,12.5k
Albania,,,,,,,,,,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,0,2000,1980,1610,1680,1680,1650,1610,1580,1590,90,129,358,367,1820,3540,4360,4750,5020,5800,5780,5380,5350,6290,6800,7630,10.8k,10.4k,10.5k,12.7k,14.1k,15.3k,15k,15.7k,14.8k,13.6k,12.6k,10.1k,10.2k,10.4k,11.1k,12.2k,13.5k,15k,15.5k,19.8k,20.9k,21.8k
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,7,0,10,10,10,5,5,5,5,6,5,5,5,0,0,0,0,0,0,5,0
UAE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,17,18,29,16,69,31,260,305,255,411,418,484,580,84,84,91,103,137,169,155,181,160,199,209
Argentina,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,38,38,1020,42,42,51,52,47,46,103,332,196,111,97,467,330,218,157,140,585,608,660,764,777,789,850,888,1160,1040,604,553,506,435,381,311,186,120,121,112,99,99,124,194,268
Armenia,,,,,,,,,,,,,,170,0,0,0,200,200,200,4070,3500,0,0,0,0,440,420,700,333,333,733,333,333,333,528,208,300,0,0,0,195k,200k,202k,201k,203k,204k,193k,193k,5790,7210,13.2k,13.2k,13.4k,14k,14.9k,15.4k,16.3k,18k,17.6k,16.5k,15.9k,12k,11.8k,11.2k,10.7k,10.8k,11k,11k,10.3k,12.3k,14.9k,15.6k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,13,13,18,24,25,27,28,32,45,50,53,56,82,99,107,117,108,105,58,55
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,41,29,57,37,23,38,38,47,27,27,21,15,10,10,20,20,16,36,29
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,49,53,54,63,47,33,27,72,68,44,62,30,19,15,15,10,10,15,5,5,0,0,10,24,18,18,23,41,28
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300k,328k,299k,201k,236k,235k,330k,311k,284k,269k,260k,253k,251k,234k,126k,15.9k,16.3k,16.9k,16.8k,16.2k,15.5k,10.8k,10.5k,9710,10.1k,10.9k,11.2k,11.6k,101k,39.5k,42.1k,43.3k
Burundi,,,,,,,,,,,0,0,0,0,3000,250,0,0,0,0,0,129k,132k,121k,142k,152k,154k,148k,152k,170k,183k,176k,177k,183k,200k,211k,187k,190k,191k,192k,224k,184k,871k,390k,351k,429k,519k,503k,527k,568k,554k,575k,532k,486k,439k,397k,376k,282k,94.2k,84.1k,101k,73.4k,72.6k,72.5k,293k,408k,439k,388k,381k,373k,324k,321k,323k
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,14,15,20,11,21,40,41,95,63,53,58,66,80,88,91,76,76,66,44,52,50,34,28,29,28,12
Benin,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,200,200,0,0,0,0,0,0,50,50,50,60,0,0,0,62,72,50,42,41,45,44,47,52,228,274,299,402,207,265,315,409,438,460,451,294,330,400,479,572,659,721,606,730,811,862
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,90,110,50,0,0,0,6,61,61,69,60,64,112,100,101,124,90,970,852,575,602,373,557,719,983,1140,1260,1460,1580,1850,2150,2350,2690,11.4k,11.7k,15.7k,20.2k,29.9k,43.1k
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,5,477,613,53.9k,57.2k,56.2k,57k,58k,44.4k,4660,4470,5400,5540,5800,5560,5730,7300,7800,10.2k,10.1k,10.4k,10k,10k,10.2k,9720,10.9k,12.2k,13.8k,16.8k,21k,22.8k,18.9k,22.7k,23.9k,25.3k
Bulgaria,,,,,,,,,,,,,,,,,,,90,320,340,340,340,300,300,0,0,290,0,329,274,257,227,183,190,160,138,898,869,1920,2730,2980,3160,4690,4160,3250,3050,3120,2650,2400,2120,2840,2570,2230,4250,3430,3310,3040,2740,2560,2320,2140,1880,1640,1260,799,716,620,566,510,455,790,395
