country,2015,2016,2017,2018
Afghanistan,5.8,,,1.8
Albania,,,,9
UAE,,,,3.4
Argentina,1.3,,,2.9
Armenia,13.9,,,12.5
Australia,4.3,,,4.1
Austria,11.8,,,11.3
Azerbaijan,13.3,,,8.4
Burundi,,,,3.5
Belgium,5.1,,,5.3
Benin,,,,6.6
Burkina Faso,,,,8.6
Bangladesh,5.1,,,0.4
Bulgaria,7.1,,,6.4
Bosnia and Herzegovina,26,,,6.2
Belarus,,,,9.8
Bolivia,,,,8.7
Brazil,4.5,,,6.7
Botswana,,,,4.1
Canada,10.5,,,5.8
Switzerland,,,,7.7
Chile,,,,6.5
China,12.6,,,2.8
Cote d'Ivoire,,,,7.8
Cameroon,,,,9.5
"Congo, Dem. Rep.",8.8,,,
"Congo, Rep.",,,,3.4
Colombia,5.9,,,8
Comoros,,,,2.6
Costa Rica,,,,5.3
Cyprus,,,,6.2
Czech Republic,7.3,,,3.1
Germany,8,,,3.2
Denmark,4.2,,,4.1
Dominican Republic,,,,2.8
Algeria,7.8,,,7.7
Ecuador,2.1,,,5.8
Egypt,,,,0.6
Spain,7.1,,,5.9
Estonia,,,,6.6
Ethiopia,2.1,,,1.9
Finland,3.5,,,4.2
Fiji,11.6,,,
France,17.3,,,18.3
Gabon,,,,11.6
UK,7,,,2.7
Georgia,,,,5.1
Ghana,8.4,,,6
Guinea,,,,7.3
Gambia,,,,5.2
Greece,16.9,,,2.5
Guatemala,,,,7.4
"Hong Kong, China",13.5,,,
Honduras,,,,4.7
Croatia,,,,4
Haiti,,,,10.2
Hungary,,,,1.3
Indonesia,7,,,11.6
India,7.8,,,1.8
Ireland,6.2,,,4.3
Iran,8.4,,,2.6
Iraq,0,,,3.9
Iceland,2.2,,,1.2
Israel,0,,,2.1
Italy,17.7,,,5.6
Jordan,,,,2.3
Japan,9.9,,,3.3
Kazakhstan,,,,4.9
Kenya,,,,7.7
Kyrgyz Republic,,,,7.2
Cambodia,,,,2
South Korea,6.4,,,2.4
Kuwait,,,,3.1
Lao,,,,1.4
Lebanon,8,,,1.1
Liberia,,,,27.6
Libya,,,,5.6
Sri Lanka,,,,3.5
Lithuania,,,,4.2
Luxembourg,,,,6.9
Latvia,14.3,,,9.8
Morocco,5.2,,,4.3
Moldova,,,,7.3
Madagascar,,,,5
Mexico,14,,,4.8
North Macedonia,11.4,,,9
Mali,,,,4.7
Malta,,,,5.2
Myanmar,,,,3.1
Montenegro,,,,7
Mongolia,6.6,,,5.2
Mozambique,,,,9.2
Mauritania,,,,5.2
Mauritius,,,,5.4
Malawi,,,,1.7
Malaysia,,,,4.1
Namibia,,,,15.7
Niger,,,,3.4
Nigeria,11.3,,,16
Nicaragua,,,,3.8
Netherlands,6.7,,,10.8
Norway,,,,2.7
Nepal,,,,6.8
New Zealand,,,,6.6
Pakistan,12.6,,,4.4
Panama,5.1,,,5.6
Peru,8,,,15.4
Philippines,2.2,,,8.9
Papua New Guinea,9.9,,,
Poland,10.3,,,4
Portugal,4.4,,,8.3
Paraguay,,,,8.3
Palestine,10.9,,,2.9
Romania,15.6,,,6
Russia,18.4,,,12
Rwanda,,,,0.6
Saudi Arabia,2.4,,,3.9
Senegal,,,,9.4
Singapore,,,,2.9
Sierra Leone,,,,3.6
El Salvador,,,,8.2
Serbia,14.1,,,5.2
Slovak Republic,,,,2.4
Slovenia,16.4,,,8
Sweden,5.9,,,3.1
Eswatini,,,,8.1
Chad,,,,7.1
Togo,,,,12.2
Thailand,6.5,,,2.3
Tajikistan,,,,0.8
Turkmenistan,,,,5.3
Tunisia,4.3,,,3.3
Turkey,8.3,,,3.6
Taiwan,,,,5.8
Tanzania,,,,4.3
Uganda,,,,13.6
Ukraine,15.4,,,7.1
Uruguay,,,,6.8
USA,9.6,,,5.8
Uzbekistan,,,,1.1
Venezuela,,,,2.5
Vietnam,4.6,,,3.6
Yemen,,,,3.2
South Africa,9.9,,,10.8
Zambia,,,,8.2
Zimbabwe,,,,1.9
