country,2015,2016,2017,2018
Afghanistan,3.6,,,2.1
Albania,,,,1.7
UAE,,,,2.5
Argentina,0.5,,,1.2
Armenia,7.6,,,12.2
Australia,3.5,,,3.3
Austria,9.6,,,11.8
Azerbaijan,13.9,,,8.3
Burundi,,,,0.7
Belgium,2.6,,,4.7
Benin,,,,1.8
Burkina Faso,,,,2.9
Bangladesh,0.3,,,0.4
Bulgaria,5.1,,,6.9
Bosnia and Herzegovina,10.9,,,5.9
Belarus,,,,7.6
Bolivia,,,,1.8
Brazil,0.7,,,0.5
Botswana,,,,3.8
Canada,6.2,,,5.4
Switzerland,,,,9.3
Chile,,,,4
China,13.5,,,1.9
Cote d'Ivoire,,,,1.5
Cameroon,,,,1.8
"Congo, Dem. Rep.",4.6,,,
"Congo, Rep.",,,,2.2
Colombia,3,,,0.6
Comoros,,,,1.3
Costa Rica,,,,1
Cyprus,,,,6
Czech Republic,6.2,,,3
Germany,5.8,,,4.3
Denmark,3.4,,,2.4
Dominican Republic,,,,0.1
Algeria,1.3,,,3.7
Ecuador,0.4,,,0.9
Egypt,,,,0.3
Spain,5.8,,,5
Estonia,,,,5.7
Ethiopia,0.7,,,0.1
Finland,2,,,1.7
Fiji,8.5,,,
France,11.7,,,9.8
Gabon,,,,2.6
UK,5.7,,,3.6
Georgia,,,,3.6
Ghana,4,,,2.8
Guinea,,,,3.6
Gambia,,,,2.8
Greece,11.7,,,1.7
Guatemala,,,,0.8
"Hong Kong, China",12.9,,,
Honduras,,,,0.3
Croatia,,,,4.4
Haiti,,,,1.7
Hungary,,,,1.3
Indonesia,2,,,3
India,5.2,,,1.4
Ireland,5.3,,,3.9
Iran,0.4,,,1.7
Iraq,0,,,2.9
Iceland,1,,,0.9
Israel,0,,,0.9
Italy,14.7,,,8.2
Jordan,,,,1
Japan,4.7,,,4.7
Kazakhstan,,,,3.7
Kenya,,,,1.3
Kyrgyz Republic,,,,4.4
Cambodia,,,,0.5
South Korea,4.7,,,5.1
Kuwait,,,,2.2
Lao,,,,0.2
Lebanon,2.6,,,0.2
Liberia,,,,2
Libya,,,,5.7
Sri Lanka,,,,0.7
Lithuania,,,,4.2
Luxembourg,,,,4.6
Latvia,8.5,,,5.9
Morocco,1.3,,,1.7
Moldova,,,,6.9
Madagascar,,,,2.3
Mexico,12,,,1
North Macedonia,10.3,,,6.5
Mali,,,,2.2
Malta,,,,2
Myanmar,,,,0.7
Montenegro,,,,6.9
Mongolia,5.1,,,4.3
Mozambique,,,,1
Mauritania,,,,1.8
Mauritius,,,,1.7
Malawi,,,,0.9
Malaysia,,,,3.1
Namibia,,,,4.4
Niger,,,,4.2
Nigeria,4,,,3.2
Nicaragua,,,,0.4
Netherlands,5.7,,,5.7
Norway,,,,1.9
Nepal,,,,1
New Zealand,,,,5.6
Pakistan,6.3,,,2
Panama,1.5,,,1.6
Peru,2.5,,,3.1
Philippines,0.5,,,5.1
Papua New Guinea,7.7,,,
Poland,8.2,,,4.1
Portugal,2,,,1
Paraguay,,,,1.7
Palestine,9.3,,,0
Romania,10.5,,,4.6
Russia,16,,,9.5
Rwanda,,,,0.6
Saudi Arabia,1.5,,,1.3
Senegal,,,,2.7
Singapore,,,,2.1
Sierra Leone,,,,0.7
El Salvador,,,,0.8
Serbia,11.5,,,5.4
Slovak Republic,,,,2.6
Slovenia,13.2,,,5.8
Sweden,4.3,,,2.2
Eswatini,,,,1.4
Chad,,,,4.3
Togo,,,,3.1
Thailand,2.1,,,1.2
Tajikistan,,,,0.7
Turkmenistan,,,,5.4
Tunisia,1.9,,,2.6
Turkey,3.6,,,3.5
Taiwan,,,,3.7
Tanzania,,,,0.6
Uganda,,,,1.6
Ukraine,12.2,,,4.3
Uruguay,,,,2.4
USA,8.8,,,6.1
Uzbekistan,,,,0.5
Venezuela,,,,0.1
Vietnam,0.7,,,1.4
Yemen,,,,1.8
South Africa,6.4,,,4.7
Zambia,,,,2.3
Zimbabwe,,,,0.6
