"nome","uf","ano","imuno","cobertura","mun_uf"
" AMAZONAS"," Amazonas",1994,"BCG",41,"UF"
" AMAZONAS"," Amazonas",1994,"Hepatite B",27.96,"UF"
" AMAZONAS"," Amazonas",1994,"Poliomielite",17.86,"UF"
" AMAZONAS"," Amazonas",1994,"Febre Amarela",7.55,"UF"
" AMAZONAS"," Amazonas",1994,"DTP",32,"UF"
" AMAZONAS"," Amazonas",1994,"Sarampo",34.81,"UF"
" AMAZONAS"," Amazonas",1994,"Ignorado",0,"UF"
" AMAZONAS"," Amazonas",1994,"Total",20.15,"UF"
" RORAIMA"," Roraima",1994,"BCG",99.64,"UF"
" RORAIMA"," Roraima",1994,"Hepatite B",10.6,"UF"
" RORAIMA"," Roraima",1994,"Poliomielite",49.36,"UF"
" RORAIMA"," Roraima",1994,"Febre Amarela",3.7,"UF"
" RORAIMA"," Roraima",1994,"DTP",70.53,"UF"
" RORAIMA"," Roraima",1994,"Sarampo",90.29,"UF"
" RORAIMA"," Roraima",1994,"Ignorado",94.16,"UF"
" RORAIMA"," Roraima",1994,"Total",64.06,"UF"
" PARA"," Pará",1994,"BCG",84.18,"UF"
" PARA"," Pará",1994,"Hepatite B",3.46,"UF"
" PARA"," Pará",1994,"Poliomielite",38.36,"UF"
" PARA"," Pará",1994,"Febre Amarela",5.36,"UF"
" PARA"," Pará",1994,"DTP",64.67,"UF"
" PARA"," Pará",1994,"Sarampo",63.49,"UF"
" PARA"," Pará",1994,"Ignorado",0,"UF"
" PARA"," Pará",1994,"Total",32.44,"UF"
" MARANHAO"," Maranhão",1994,"BCG",66.55,"UF"
" MARANHAO"," Maranhão",1994,"Hepatite B",0.07,"UF"
" MARANHAO"," Maranhão",1994,"Poliomielite",34.81,"UF"
" MARANHAO"," Maranhão",1994,"Febre Amarela",33.62,"UF"
" MARANHAO"," Maranhão",1994,"DTP",39.16,"UF"
" MARANHAO"," Maranhão",1994,"Sarampo",45.26,"UF"
" MARANHAO"," Maranhão",1994,"Ignorado",0,"UF"
" MARANHAO"," Maranhão",1994,"Total",27.43,"UF"
" PIAUI"," Piauí",1994,"BCG",99.2,"UF"
" PIAUI"," Piauí",1994,"Hepatite B",0,"UF"
" PIAUI"," Piauí",1994,"Poliomielite",53.33,"UF"
" PIAUI"," Piauí",1994,"Febre Amarela",0.01,"UF"
" PIAUI"," Piauí",1994,"DTP",65.65,"UF"
" PIAUI"," Piauí",1994,"Sarampo",67.65,"UF"
" PIAUI"," Piauí",1994,"Ignorado",105.97,"UF"
" PIAUI"," Piauí",1994,"Total",62.22,"UF"
" CEARA"," Ceará",1994,"BCG",104.65,"UF"
" CEARA"," Ceará",1994,"Hepatite B",0,"UF"
" CEARA"," Ceará",1994,"Poliomielite",94.18,"UF"
" CEARA"," Ceará",1994,"Febre Amarela",0,"UF"
" CEARA"," Ceará",1994,"DTP",91.04,"UF"
" CEARA"," Ceará",1994,"Sarampo",103.72,"UF"
" CEARA"," Ceará",1994,"Ignorado",0,"UF"
" CEARA"," Ceará",1994,"Total",49.2,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"BCG",101.77,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Hepatite B",0,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Poliomielite",69.7,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Febre Amarela",0,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"DTP",78.79,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Sarampo",80.44,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Ignorado",0,"UF"
" RIO GRANDE DO NORTE"," Rio Grande do Norte",1994,"Total",41.34,"UF"
" PERNAMBUCO"," Pernambuco",1994,"BCG",84.38,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Hepatite B",0,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Poliomielite",51.16,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Febre Amarela",0,"UF"
" PERNAMBUCO"," Pernambuco",1994,"DTP",58.85,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Sarampo",73.31,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Ignorado",0,"UF"
" PERNAMBUCO"," Pernambuco",1994,"Total",33.46,"UF"
" BAHIA"," Bahia",1994,"BCG",109.63,"UF"
" BAHIA"," Bahia",1994,"Hepatite B",0,"UF"
" BAHIA"," Bahia",1994,"Poliomielite",76.52,"UF"
" BAHIA"," Bahia",1994,"Febre Amarela",0,"UF"
" BAHIA"," Bahia",1994,"DTP",75.47,"UF"
" BAHIA"," Bahia",1994,"Sarampo",82.61,"UF"
" BAHIA"," Bahia",1994,"Ignorado",0,"UF"
" BAHIA"," Bahia",1994,"Total",43.03,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"BCG",94.31,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Hepatite B",90.42,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Poliomielite",73.72,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Febre Amarela",0,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"DTP",87.09,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Sarampo",96.21,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Ignorado",0,"UF"
" ESPIRITO SANTO"," Espírito Santo",1994,"Total",55.22,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"BCG",112.64,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Hepatite B",38.45,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Poliomielite",87,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Febre Amarela",0.12,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"DTP",87.23,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Sarampo",87.35,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Ignorado",0,"UF"
" SANTA CATARINA"," Santa Catarina",1994,"Total",51.6,"UF"
" MATO GROSSO"," Mato Grosso",1994,"BCG",78.75,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Hepatite B",0.01,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Poliomielite",48.25,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Febre Amarela",5.7,"UF"
" MATO GROSSO"," Mato Grosso",1994,"DTP",57.62,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Sarampo",63.74,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Ignorado",0,"UF"
" MATO GROSSO"," Mato Grosso",1994,"Total",31.76,"UF"
" GOIAS"," Goiás",1994,"BCG",56.81,"UF"
" GOIAS"," Goiás",1994,"Hepatite B",0,"UF"
" GOIAS"," Goiás",1994,"Poliomielite",37.28,"UF"
" GOIAS"," Goiás",1994,"Febre Amarela",2.21,"UF"
" GOIAS"," Goiás",1994,"DTP",39.27,"UF"
" GOIAS"," Goiás",1994,"Sarampo",43.36,"UF"
" GOIAS"," Goiás",1994,"Ignorado",0,"UF"
" GOIAS"," Goiás",1994,"Total",22.37,"UF"
" AMAZONAS"," Amazonas",1995,"BCG",88.38,"UF"
" AMAZONAS"," Amazonas",1995,"Hepatite B",42.02,"UF"
" AMAZONAS"," Amazonas",1995,"Poliomielite",48.41,"UF"
" AMAZONAS"," Amazonas",1995,"Febre Amarela",16.68,"UF"
" AMAZONAS"," Amazonas",1995,"DTP",52.32,"UF"
" AMAZONAS"," Amazonas",1995,"Sarampo",74.59,"UF"
" AMAZONAS"," Amazonas",1995,"Haemophilus influenzae b",0,"UF"
" AMAZONAS"," Amazonas",1995,"Ignorado",0,"UF"
" AMAZONAS"," Amazonas",1995,"Total",35.82,"UF"
" RORAIMA"," Roraima",1995,"BCG",129.05,"UF"
" RORAIMA"," Roraima",1995,"Hepatite B",45.72,"UF"
" RORAIMA"," Roraima",1995,"Poliomielite",93.94,"UF"
" RORAIMA"," Roraima",1995,"Febre Amarela",33.29,"UF"
" RORAIMA"," Roraima",1995,"DTP",82.78,"UF"
" RORAIMA"," Roraima",1995,"Sarampo",116.47,"UF"
" RORAIMA"," Roraima",1995,"Haemophilus influenzae b",0,"UF"
" RORAIMA"," Roraima",1995,"Ignorado",149.14,"UF"
" RORAIMA"," Roraima",1995,"Total",88.84,"UF"
" PARA"," Pará",1995,"BCG",107.88,"UF"
" PARA"," Pará",1995,"Hepatite B",31.17,"UF"
" PARA"," Pará",1995,"Poliomielite",45.48,"UF"
" PARA"," Pará",1995,"Febre Amarela",12.84,"UF"
" PARA"," Pará",1995,"DTP",71.8,"UF"
" PARA"," Pará",1995,"Sarampo",91.81,"UF"
